OSMadre,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
505900769200,MA,797F,DESPACHO,2020-07-20,2020-08-31 00:00:00,2020-08-25,2922171,CRA08105,LAJ00230,Evento,Overhaul,17355.0
505900769400,MO,797F,TERMINADO,2020-07-21,2021-01-20 00:00:00,2021-01-19,20R7015,HN400158,LAJ00414,Programado,Overhaul,17400.0
505900769900,MA,797F,DESPACHO,2020-07-21,2020-08-31 00:00:00,2020-08-28,2922171,401613658,LAJ00258,Evento,Overhaul,10119.0
505900770100,DI,797F,DESPACHO,2020-07-21,2020-09-20 00:00:00,2020-08-28,2912627,388110708B,LAJ00172,Programado,Overhaul,27352.0
505900774400,TR,16M,TERMINADO,2020-07-23,2020-09-21 00:00:00,2020-09-21,10R9504,DZM02061,B9H00863,Evento,Overhaul,2636.0
505900771600,MA,797B,DESPACHO,2020-07-24,2020-08-30 00:00:00,2020-08-24,1925826,CRA06661,JSM00167,Evento,Overhaul,0.0
505900771700,MA,797B,TERMINADO,2020-07-24,2020-08-30 00:00:00,2020-08-24,1925826,CRA10978,JSM00240,Evento,Overhaul,8234.0
505900771800,MA,797B,TERMINADO,2020-07-24,2020-08-31 00:00:00,2020-08-23,1925826,CRA011210,JSM00421,Evento,Overhaul,16277.0
505900772700,MO,797B,DESPACHO,2020-07-28,2020-11-22 00:00:00,2020-11-17,10R7929,NPM00427,JSM00466,Programado,Overhaul,15000.0
505900772800,MF,777F,TERMINADO,2020-07-27,2020-09-27 00:00:00,2020-09-14,10R8431,CRA11235,JXP00206,Programado,Overhaul,16753.0
505900772900,DI,834G,DESPACHO,2020-07-27,2020-09-27 00:00:00,2020-09-01,1378851,325813660,LWX00649,Programado,Overhaul,19635.0
505900773000,MF,793F,DESPACHO,2020-07-27,2020-09-27 00:00:00,2020-09-11,20R3788,KAK003934,SSP01171,Programado,Overhaul,16184.0
505900773900,MA,797B,DESPACHO,2020-07-27,2020-08-31 00:00:00,2020-08-28,1925826,CRA07709,JSM00187,Evento,Overhaul,14324.0
505900774600,MA,793F,DESPACHO,2020-07-28,2020-09-30 00:00:00,2020-09-13,2955706SMR,CRA09438,SSP00298,Evento,Overhaul,27498.0
505900774700,CO,797B,DESPACHO,2020-07-28,2020-08-10 00:00:00,2020-08-10,0R9812,T6B00093,JSM00454,Programado,Proceso Continuo,16624.0
505900776300,MA,797F,DESPACHO,2020-07-29,2020-09-23 00:00:00,2020-09-20,2922171,CRA07971,LAJ00236,Evento,Overhaul,17889.0
505900776400,MF,777F,DESPACHO,2020-07-29,2020-09-20 00:00:00,2020-09-04,10R8431,400813661,JXP00206,Programado,Overhaul,16753.0
505900776700,TR,797B,DESPACHO,2020-07-30,2020-10-18 00:00:00,2020-10-13,0R9813,10277372,JSM00455,Programado,Overhaul,9097.0
505900782500,MF,797F,DESPACHO,2020-08-04,2020-08-15 00:00:00,2020-08-15,0R9814,10289027,LAJ00498,Programado,Proceso Continuo,11822.0
505900788600,MA,797F,DESPACHO,2020-08-11,2020-08-22 00:00:00,2020-08-22,2922171,401613655,LAJ00498,Programado,Proceso Continuo,15112.0
505900790500,TR,797B,DESPACHO,2020-08-11,2020-10-11 00:00:00,2020-10-02,0R9813,10315131,JSM00425,Programado,Overhaul,2072.0
505900792800,TR,797B,TERMINADO,2020-08-14,2020-09-20 00:00:00,2020-09-15,0R9813,DSP00597,JSM00318,Programado,Overhaul,15000.0
505900792700,MA,797B,DESPACHO,2020-08-13,2020-10-30 00:00:00,2020-10-30,2922171EX,CRA08113,JSM00366,Evento,Overhaul,4541.0
505900792900,TR,797B,DESPACHO,2020-08-14,2020-10-30 00:00:00,2020-10-20,0R9813,7002434,JSM00167,Programado,Overhaul,16468.0
505900795900,DI,988K,DESPACHO,2020-08-15,2020-10-05 00:00:00,2020-09-01,1378851,325813678,LWX00623,Programado,Overhaul,19434.0
505900801400,DI,797B,DESPACHO,2020-08-18,2020-10-19 00:00:00,2020-10-13,2912627,807433,JSM00367,Programado,Overhaul,20192.0
505900802000,CO,797F,DESPACHO,2020-08-20,2020-10-30 00:00:00,2020-10-30,20R0132,T3G00617,LAJ00496,Evento,Proceso Continuo,0.0
505900801600,MA,797F,DESPACHO,2020-08-19,2020-08-29 00:00:00,2020-08-25,2922171,CRA09513,LAJ00179,Programado,Proceso Continuo,22125.0
505900802200,MF,797B,DESPACHO,2020-08-19,2020-08-30 00:00:00,2020-08-28,0R9814,AD00309,JSM00173,Programado,Proceso Continuo,14267.0
505900800100,MA,797B,TERMINADO,2020-08-19,2020-09-27 00:00:00,2020-09-22,1925826,401613700,JSM00367,Evento,Overhaul,15500.0
505900800200,MA,797B,DESPACHO,2020-08-19,2020-08-29 00:00:00,2020-08-25,1925826,CRA09391,JSM00396,Programado,Proceso Continuo,16934.0
505900802600,MA,797B,DESPACHO,2020-08-19,2020-09-30 00:00:00,2020-09-20,1925826,CRA09787,JSM00249,Evento,Overhaul,8536.0
505900803900,MO,797B,DESPACHO,2020-08-28,2020-11-30 00:00:00,2020-11-30,10R7929,XEE00108,JSM00454,Programado,Overhaul,16624.0
505900804700,DI,793F,TERMINADO,2020-08-24,2020-10-15 00:00:00,2020-10-08,2801609,DFN00352,SSP00864,Programado,Overhaul,22671.0
505900804800,MF,793F,TERMINADO,2020-08-24,2020-10-21 00:00:00,2020-10-20,20R3787,400813832,SSP00867,Programado,Overhaul,23573.0
505900806800,TR,797B,DESPACHO,2020-08-24,2020-11-30 00:00:00,2020-11-12,0R9813,10149041,JSM00124,Evento,Overhaul,4402.0
505900806900,MA,793F,TERMINADO,2020-08-26,2020-11-10 00:00:00,2020-11-10,2955706SMR,CRA11691,SSP00561,Evento,Overhaul,4097.0
505900807000,TR,D10T,DESPACHO,2020-08-25,2020-09-30 00:00:00,2020-09-30,10R5292,10230905B,RJG0448,Programado,Overhaul,3790.0
505900807100,MA,797B,DESPACHO,2020-08-25,2020-09-05 00:00:00,2020-09-05,1925826,CRA08719,JSM00469,Programado,Proceso Continuo,16394.0
505900809300,MA,797F,DESPACHO,2020-08-27,2020-09-07 00:00:00,2020-09-27,2922171,CRA09721,LAJ00182,Evento,Proceso Continuo,16227.0
505900809400,MA,797F,TERMINADO,2020-08-27,2020-10-30 00:00:00,2020-10-30,2922171,CRA09439,LAJ00178,Evento,Overhaul,13004.0
505900809500,TR,D11T,DESPACHO,2020-08-27,2020-09-30 00:00:00,2020-09-29,304-1817,CRA06275,GEB00601,Programado,Overhaul,23214.0
505900811100,MA,797F,DESPACHO,2020-08-28,2020-09-30 00:00:00,2020-09-30,2922171EX,CRA11904,LAJ00234,Evento,Overhaul,13603.0
505900811200,MA,797F,DESPACHO,2020-09-01,2020-11-08 00:00:00,2020-11-08,2922171,CRA08226,LAJ00259,Evento,Overhaul,5041.0
