OS,cliente,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
505901080301,CONTRATO MINERA CANDELARIA,DI,793F,DESPACHO,2021-05-11,2021-08-09 00:00:00,2021-08-08,4663323,DFN02203,SSP01201,Evento,Overhaul,20000.0
505901078501,INTERCAMBIO O INTERNO CRC,MF,797B,DESPACHO,2021-05-10,2021-05-22 00:00:00,2021-05-22,0R9814.505,804414,JSM00419,Programado,Proceso Continuo,22408.0
505901078801,INTERCAMBIO O INTERNO CRC,MA,797B,DESPACHO,2021-04-23,2021-06-24 00:00:00,2021-06-24,1925826.505,CRA05772,JSM00368,Evento,Overhaul,16000.0
505901080601,CONTRATO MINERA CANDELARIA,TR,793F,DESPACHO,2021-05-06,2021-07-19 00:00:00,2021-07-08,4499612,JA502065,SSP01201,Programado,Overhaul,20000.0
505901082001,CORP.NAC.DEL COB DE CHILEDIVIMINI,MO,854K,DESPACHO,2021-03-19,2021-07-31 00:00:00,2021-07-30,3402665,MZM00195,H9K00345,Evento,Overhaul,243756.0
505901076501,INTERCAMBIO O INTERNO CRC,MA,797B,DESPACHO,2021-04-23,2021-06-20 00:00:00,2021-06-17,1925826EX.505,CRA06230,JSM00188,Evento,Overhaul,1.0
505901079801,INTERCAMBIO O INTERNO CRC,MA,797B,DESPACHO,2021-04-21,2021-05-15 00:00:00,2021-05-15,1925826EX.505,CRA08416,JSM00297,Programado,Proceso Continuo,23516.0
505901079901,INTERCAMBIO O INTERNO CRC,MA,797B,DESPACHO,2021-04-21,2021-07-11 00:00:00,2021-07-05,1925826EX.505,CRA08647,JSM00257,Evento,Overhaul,14900.0
505901097401,CONTRATO MINERA CANDELARIA,TR,793B,DESPACHO,2021-04-22,2021-07-31 00:00:00,2021-07-26,0R4008.000,6LE01906,1HL00461,Evento,Overhaul,14429.0
505901080401,CONTRATO MINERA CANDELARIA,MF,793F,DESPACHO,2021-07-08,2021-08-31 00:00:00,2021-08-31,3345493,KAK04272,SSP01201,Programado,Overhaul,20000.0
505901080501,CONTRATO MINERA CANDELARIA,MF,793F,DESPACHO,2021-06-24,2021-08-30 00:00:00,2021-08-28,2802052,KAK04240-1,SSP01203,Programado,Overhaul,6946.0
505901082401,CIA.MIN.CERRO COLORADO LTDA.,CO,D10T,DESPACHO,2021-04-23,2021-06-06 00:00:00,2021-06-06,10R5295.000,S/S,RJG04430,Evento,Puntual,1063.0
505901081201,INTERCAMBIO O INTERNO CRC,MF,797B,DESPACHO,2021-04-22,2021-06-26 00:00:00,2021-06-24,0R9814FC.5,10239732,JSM00419,Programado,Overhaul,22407.0
505901081301,INTERCAMBIO O INTERNO CRC,TR,797B,DESPACHO,2021-04-22,2021-07-30 00:00:00,2021-07-27,0R9813.505,10010031,JSM00460,Programado,Overhaul,9900.0
505901081401,INTERCAMBIO O INTERNO CRC,MA,797F,DESPACHO,2021-04-22,2021-05-04 00:00:00,2021-04-30,2922171EX.505,CRA09665,LAJ00259,Programado,Proceso Continuo,0.0
505901082201,INTERCAMBIO O INTERNO CRC,MF,797F,DESPACHO,2021-04-23,2021-05-16 00:00:00,2021-05-16,0R9814.505,10237079,LAJ00163,Programado,Proceso Continuo,12227.0
505901082301,INTERCAMBIO O INTERNO CRC,MF,797F,DESPACHO,2021-04-23,2021-12-31 00:00:00,2021-12-29,0R9814.505,S/S # 505328,LAJ00496,Programado,Overhaul,23382.0
508600222801,Centro Logístico Antofagasta,MO,9999,DESPACHO,2021-04-23,2021-04-26 00:00:00,2021-04-22,0,KP67002DB,A9999999,Programado,Preservado,0.0
505901084101,MINERA ESCONDIDA LTDA.,MA,797B,DESPACHO,2021-04-23,2021-07-11 00:00:00,2021-07-05,1925826,401614433,JSM00169,Evento,Overhaul,11000.0
505901084301,MINERA ESCONDIDA LTDA.,MA,797B,DESPACHO,2021-04-23,2021-06-30 00:00:00,2021-06-29,1925826,401612361,JSM00169,Evento,Overhaul,11000.0
505901084701,CLIENTE EL ABRA,TR,793B,DESPACHO,2021-04-26,2022-03-10 00:00:00,2022-03-16,0R4008.000,6LE02858,1HL00370,Evento,Overhaul,14000.0
505901086601,INTERCAMBIO O INTERNO CRC,MO,797F,DESPACHO,2021-05-13,2021-05-16 00:00:00,2021-05-16,20R7015.000,RMR00230,S/N,Evento,Puntual,0.0
505901086701,INTERCAMBIO O INTERNO CRC,MO,797F,DESPACHO,2021-05-13,2021-05-19 00:00:00,2021-05-17,20R7015.000,RMR00231,S/N,Evento,Puntual,0.0
505901086801,INTERCAMBIO O INTERNO CRC,MO,797F,DESPACHO,2021-05-27,2021-06-09 00:00:00,2021-06-07,20R7015.000,RMR00233,S/N,Evento,Puntual,0.0
505901100501,CENTINELA SULFUROS,MO,834H,DESPACHO,2021-04-26,2021-10-31 00:00:00,2021-10-29,20R4097.511,RGX02665,BTX00332,Evento,Puntual,1335.0
505901084901,INTERCAMBIO O INTERNO CRC,MA,797F,DESPACHO,2021-04-26,2021-05-17 00:00:00,2021-05-17,2922171EX.505,CRA09511,LAJ00467,Programado,Proceso Continuo,13690.0
