OS,cliente,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
NP16700,CONTRATO MEL,MO,797,DESPACHO,,2006-06-30 00:00:00,2006-03-29,1363202,3TN00416,5YW00228,,,545445.0
NP16480,EL ABRA,MO,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R9659,7CL01331,1HL00154,,,7054.0
NP16727,COLLAHUASI,MO,797,DESPACHO,,2006-06-30 00:00:00,2006-03-29,1874597,3TN00492,5YW00259,,,2913.0
NP16745,EL ABRA,MO,D10N,DESPACHO,,2007-03-01 00:00:00,2006-03-30,1874597,3TN00492,5YW00259,,,3960.0
CI06708,MINERA SPENCE S.A.,MO,,DESPACHO,,2007-03-01 00:00:00,2006-03-27,,CUALQUIERA,CUALQUIERA,,Overhaul,545445.0
CI06696,INTERCAMBIO,MO,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R3983,7CL01319,7EK00215,,Overhaul,545445.0
NP16825,CONTRATO MEL,MO,797,DESPACHO,,2006-06-30 00:00:00,2006-03-29,OR8668,3TN00447,5YW00234,,,545445.0
NP16526,,MO,16H,DESPACHO,,2007-03-01 00:00:00,2006-03-30,1107949,11N14779,6ZJ00029,,,545445.0
NP16738,PELAMBRES,MO,797,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R8668,CND00203,5YW00275,,,545445.0
CI06693,INTERCAMBIO,MO,797B,DESPACHO,,2007-03-01 00:00:00,2006-04-24,0R7542,80M02249,3KR00530,,Overhaul,545445.0
NP16672,,MO,16H,DESPACHO,,2007-03-01 00:00:00,2006-03-30,1107949,41Z04401,6ZJ00242,,,545445.0
NP16830,,MO,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R9659,7CL01389,1HL00165,,,545445.0
NP16845,,MO,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R3959,7CL01261,1HL00368,,,545445.0
CI06722,INTERCAMBIO,MO,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R3983,7CL00378,7EK00214,,Overhaul,545445.0
NP16750,,MO,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R3969,7CL01482,1HL00243,,,545445.0
CI06712,INTERCAMBIO,MO,797,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R8668,1AW00493,5YW00219,,Overhaul,545445.0
NP16673,,MO,D10R,DESPACHO,,2007-03-01 00:00:00,2006-03-30,7T2630,73W16235,2YD02346,,,545445.0
CI06583,INTERCAMBIO,MO,773D,DESPACHO,,2006-05-31 00:00:00,2006-03-27,1230198,80M02901,7ER00280,,Overhaul,545445.0
NP16690,,MO,793C,DESPACHO,,2007-03-01 00:00:00,2006-03-30,,CPW00480,4AR00131,,,545445.0
CI06532,INTERCAMBIO,DI,797,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9815,84022702GD,5YW00276,,Overhaul,545445.0
CI06632,INTERCAMBIO,DI,994D,DESPACHO,,2007-03-01 00:00:00,2006-03-27,1191792,CRA05104,3TZ00262,,Overhaul,545445.0
CI06698,INTERCAMBIO,DI,16H,DESPACHO,,2006-07-15 00:00:00,2006-03-27,8D4290,CRA05107,ATS00219,,Overhaul,545445.0
CI06710,INTERCAMBIO,DI,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,1256046,CRA04167,7EK00640,,Overhaul,545445.0
NP16482,,DI,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,1350471C,CRA05103,1HL00148,,,545445.0
NP16784,,DI,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,1354071,CRA01585,1HL00146,,,545445.0
NP16795,PELAMBRES,DI,797,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9815,50012301GD,5YW00236,,,545445.0
CI06709,INTERCAMBIO,DI,797B,DESPACHO,,2007-03-01 00:00:00,,0R9815,87052202GD,JSM00124,,Overhaul,14121.0
NP16861,,DI,789,DESPACHO,,2007-03-01 00:00:00,2006-03-30,1256046,CRA05081,9ZC00544,,,545445.0
NP16857,,DI,777D,DESPACHO,,2007-03-01 00:00:00,2006-03-30,1049410,CRA05089,AGC00333,,,545445.0
NP16886,CONTRATO MEL,DI,797B,DESPACHO,,2007-03-01 00:00:00,2006-03-29,1872033,46101800D,JSM00183,,,4991.0
CI06769,INTERCAMBIO,DI,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,1256046,CRA01354,7EK00640,,Overhaul,545445.0
NP16911,,DI,992G,DESPACHO,,2007-03-01 00:00:00,2006-09-03,,CUALQUIERA,CUALQUIERA,,,545445.0
CI06771,INTERCAMBIO,DI,793C,DESPACHO,,2007-03-01 00:00:00,2006-03-27,1350471C,CRA01849,1HL00438,,Overhaul,545445.0
NP16540,EL ABRA,MF,797B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9814,302279,0JSM00143,,,12510.0
NP16696,,MF,789C,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R9043,10060594,2BW00158,,Overhaul,545445.0
NP16629,PELAMBRES,MF,797,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9814,600133,5YW00224,,,13580.0
CI06548,INTERCAMBIO,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9049,CRA02044,4AR00117,,Overhaul,545445.0
CI06550,INTERCAMBIO,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9049,10060782,4AR00127,,Overhaul,545445.0
CI06563,INTERCAMBIO,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9049,CRA10459,CUALQUIERA,,Overhaul,545445.0
CI06551,INTERCAMBIO,MF,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,10R1822,10059552,1HL00379,,Overhaul,545445.0
NP16635,,MF,793,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9049,CRA02490,1HL00018,,,545445.0
NP16720,,MF,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,,CUALQUIERA,CUALQUIERA,,,545445.0
CI06549,INTERCAMBIO,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9049,CRA17297,4AR00117,,Overhaul,8498.0
CI06617,INTERCAMBIO,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9049,CRA02969,4AR00131,,Overhaul,545445.0
CI06628,INTERCAMBIO,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9049,CRA02969,4AR00131,,Overhaul,545445.0
CI06634,INTERCAMBIO,MF,789C,DESPACHO,,2100-12-31 00:00:00,2006-09-15,0R9043,CRA04503,2BW00528,,Overhaul,28523.0
CI06636,INTERCAMBIO,MF,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9043,100002604,7EK00639,,Overhaul,545445.0
CI06627,INTERCAMBIO,MF,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9049,CRA03459,1HL00155,,Overhaul,545445.0
NP16760,,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-07-22,0R9049,CRA04793,7EK00216,,,545445.0
CI06552,INTERCAMBIO,MF,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,10R1822,10059552,1HL00379,,Overhaul,6847.0
NP16486,,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-10-03,,CUALQUIERA,CUALQUIERA,,,545445.0
NP16748,,MF,789B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,,CUALQUIERA,CUALQUIERA,,,545445.0
NP16723,,MF,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R9043,CRA01718,7EK00216,,,545445.0
CI06675,INTERCAMBIO,MF,797,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9814,400110,CJSM00124,,Overhaul,545445.0
CI06655,INTERCAMBIO,MF,789B,DESPACHO,,2006-06-30 00:00:00,2006-05-20,0R9043,CRA04575,CUALQUIERA,,Overhaul,545445.0
CI06660,INTERCAMBIO,MF,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9049,CRA02102,1HL00438,,Overhaul,545445.0
CI06661,INTERCAMBIO,MF,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9049,CRA04047,1HL00512,,Overhaul,545445.0
NP16661,PELAMBRES,MF,797,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R9814,10043641,5YW00224,,,260.0
CI06676,INTERCAMBIO,MF,797,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9814,302279,0SJM00143,,Overhaul,545445.0
CI06662,INTERCAMBIO,MF,793B,DESPACHO,,2007-03-01 00:00:00,,0R9049,CRA04333,1HL00512,,Overhaul,9871.0
CI06517,INTERCAMBIO,MF,797,DESPACHO,,2007-03-01 00:00:00,2006-03-27,1872032,1101207,5YW00231,,Overhaul,545445.0
CI06657,INTERCAMBIO,MF,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9043,1000003703,2BW00527,,Overhaul,545445.0
CI06677,INTERCAMBIO,MF,797,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9814,600135,5YW00259,,Overhaul,7710.0
CI06663,INTERCAMBIO,MF,793B,DESPACHO,,2006-07-18 00:00:00,2006-07-28,0R9049,CRA00926,4AR00102,,Overhaul,2044.0
CI06656,INTERCAMBIO,MF,789B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9043,CRA03114,2BW00157,,Overhaul,545445.0
CI06678,INTERCAMBIO,MF,797,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9814,CUALQUIERA,CUALQUIERA,,Overhaul,545445.0
CI06665,INTERCAMBIO,MF,793B,DESPACHO,,2100-12-31 00:00:00,2006-10-24,0R9049,CRA03028,4GZ00203,,Overhaul,545445.0
CI06664,INTERCAMBIO,MF,793B,DESPACHO,,2006-06-30 00:00:00,2006-05-29,0R9049,CRA03065,4GZ00203,,Overhaul,545445.0
CI06679,INTERCAMBIO,MF,797,DESPACHO,,2006-09-30 00:00:00,2006-09-27,0R9814,102214,5YW00242,,Overhaul,18817.0
CI06666,INTERCAMBIO,MF,793B,DESPACHO,,2006-08-02 00:00:00,2006-08-01,0R9049,CRA01932,1HL00371,,Overhaul,12778.0
CI06658,INTERCAMBIO,MF,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9043,CRA01599,2BW00533,,Overhaul,545445.0
CI06668,INTERCAMBIO,MF,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,10R1822,CRA03488,4AR000354,,Overhaul,10854.0
CI06667,INTERCAMBIO,MF,793B,DESPACHO,,2006-08-02 00:00:00,2006-08-17,0R9049,CRA01675,01HL00513,,Overhaul,11130.0
CI06680,INTERCAMBIO,MF,797,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9814,404383,5YW00259,,Overhaul,2542.0
NP16726,,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R9049,CRA04718,4AR00103,,,545445.0
CI06681,INTERCAMBIO,MF,797,DESPACHO,,2006-06-30 00:00:00,2006-05-30,0R9814,603335,JSM00168,,Overhaul,15856.0
CI06669,INTERCAMBIO,MF,793B,DESPACHO,,2006-08-01 00:00:00,2006-08-28,0R9049,14501,4AR00354,,Overhaul,10854.0
CI06557,INTERCAMBIO,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-03-27,10R1822,14377,4AR00319,,Overhaul,545445.0
NP16742,CONTRATO MEL,MF,797B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9814,603333,JSM00166,,,14400.0
CI06723,INTERCAMBIO,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-10-03,10R1822,CRA0940,4AR00320,,Overhaul,545445.0
NP16856,,MF,777D,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R9031,CRA02874,AGC00357,,,545445.0
NP16855,,MF,777D,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R9031,CRA02654,AGC00357,,,545445.0
NP16660,,MF,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-30,,CUALQUIERA,CUALQUIERA,,,545445.0
NP16758,CONTRATO MEL,MF,797B,DESPACHO,,2007-03-01 00:00:00,2006-03-30,1872032,603332,JSM00166,,,14400.0
NP16840,CONTRATO MEL,MF,797,DESPACHO,,2007-03-01 00:00:00,,1872032,SIN SERIE,5YW00234,,,7954.0
CI06752,INTERCAMBIO,MF,793C,DESPACHO,,2100-12-31 00:00:00,2006-10-02,0R9049,10062529,4AR00131,,Overhaul,9278.0
CI06753,INTERCAMBIO,MF,793C,DESPACHO,,2006-08-01 00:00:00,2006-08-21,0R9049,CRA02438,1HL00483,,Overhaul,14556.0
CI06579,INTERCAMBIO,CO,994,DESPACHO,,2007-03-01 00:00:00,2006-03-27,6Y5689,10011869,9YF00143,,Overhaul,545445.0
CI06622,INTERCAMBIO,CO,D10R,DESPACHO,,2007-03-01 00:00:00,2006-03-27,10R1535,TCE00025,AKT00229,,Overhaul,545445.0
CI06637,INTERCAMBIO,CO,994D,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9549,CRA04019,3TZ00268,,Overhaul,545445.0
NP16765,,CO,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-28,0R4088,CRA02587,1HL00243,,,545445.0
CI06699,INTERCAMBIO,CO,994,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R4087,3MT0083,9YF00167,,Overhaul,545445.0
CI65881,INTERCAMBIO,CO,992D,DESPACHO,,2007-03-01 00:00:00,2006-03-27,,CUALQUIERA,CUALQUIERA,,Overhaul,545445.0
NP16764,,CO,992G,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R4094,CRA05096,ADZ00197,,,545445.0
CI06688,INTERCAMBIO,CO,D10R,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R4092,10012225B,3KR00530,,Overhaul,545445.0
CI06687,INTERCAMBIO,CO,994,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R4087,CRA01812,9YF00206,,Overhaul,545445.0
CI06642,INTERCAMBIO,CO,789,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R4085,3018644,9ZC00544,,Overhaul,545445.0
NP16724,,CO,994,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R4087,10053941,9YF00088,,,545445.0
NP16836,,CO,994,DESPACHO,,2007-03-01 00:00:00,2006-03-28,OR4087,CRA03912,9YF00088,,,545445.0
NP16826,,CO,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R4088,CRA05108,1HL00298,,,545445.0
NP16831,,CO,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R4088,CRA01438,1HL00165,,,545445.0
CI06689,INTERCAMBIO,CO,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R4088,TRQ309,1HL00107,,Overhaul,545445.0
NP16832,CONTRATO MEL,CO,797B,DESPACHO,,2007-03-01 00:00:00,2006-08-07,0R9812,5ST00122,JSM00124,,,14121.0
NP16224,CONTRATO MEL,TR,797B,DESPACHO,,2007-03-01 00:00:00,2006-04-05,0R9813,5JY00764,JSM00165,,,12020.0
NP16607,,TR,994,DESPACHO,,2007-03-01 00:00:00,2006-10-03,9U8883T,3AX00607,9YF00110,,,545445.0
CI06593,INTERCAMBIO,TR,824C,DESPACHO,,2007-03-01 00:00:00,2006-04-05,0R4039,2JE00852,85X01604,,Overhaul,10036.0
CI06590,INTERCAMBIO,TR,D10N,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R4010,955223,2YD02351,,Overhaul,545445.0
NP16647,,TR,994,DESPACHO,,2007-03-01 00:00:00,2006-04-05,0R4017,3XA00733,9YF00190,,,545445.0
NP16778,,TR,D10N,DESPACHO,,2007-03-01 00:00:00,2006-04-05,0R4010,1ZE00347,3SK00959,,,545445.0
CI06566,INTERCAMBIO,TR,797,DESPACHO,,2007-03-01 00:00:00,2006-04-05,0R9813,10043882,5YW00241,,Overhaul,545445.0
NP16688,,TR,16G,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R4024,T-4250,93U03458,,,545445.0
NP16786,,TR,834G,DESPACHO,,2007-03-01 00:00:00,2006-10-03,1376229,3NY00987,BPC00185,,,545445.0
NP16805,,TR,834B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,OR4040,3MX00682,07BR00587,,,545445.0
CI06711,INTERCAMBIO,TR,793B,DESPACHO,,2006-08-31 00:00:00,2006-04-12,0R4008,6LE00083,3SJ000008,,Overhaul,545445.0
CI06602,INTERCAMBIO,TR,797,DESPACHO,,2007-03-01 00:00:00,2006-04-05,0R9813,10040488,5YW00271,,Overhaul,545445.0
CI06526,INTERCAMBIO,TR,773D,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R4003,8AA02444,7ER00330,,Overhaul,545445.0
NP16640,CONTRATO MEL,TR,797,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9813,5JY00698,5YW00234,,,3.0
CI06715,INTERCAMBIO,TR,D10R,DESPACHO,,2007-03-01 00:00:00,2006-04-05,10R0813,7SY00977,AKT00628,,Overhaul,545445.0
NP16822,,TR,834B,DESPACHO,,2007-03-01 00:00:00,2006-10-24,0R4040,T03470,92Z00569,,,545445.0
NP16749,,TR,793C,DESPACHO,,2007-03-01 00:00:00,2006-10-03,9U9822,4GX00715,4AR00242,,,545445.0
CI06589,INTERCAMBIO,TR,D11R,DESPACHO,,2006-06-30 00:00:00,2006-04-13,1408395,CRA02477,8ZR00313,,Overhaul,545445.0
CI06591,INTERCAMBIO,TR,D11R,DESPACHO,,2006-05-31 00:00:00,2006-10-03,0R4056,9KX00646,8ZR00313,,Overhaul,545445.0
CI06610,INTERCAMBIO,TR,994D,DESPACHO,,2007-03-01 00:00:00,2006-04-05,0R9547,5YF00852,3TZ00279,,Overhaul,545445.0
NP16885,,TR,793B,DESPACHO,,2007-03-01 00:00:00,2006-04-05,6Y5645,6LE01092,1HL00370,,,545445.0
CI06603,INTERCAMBIO,TR,797,DESPACHO,,2007-03-01 00:00:00,2006-07-08,0R9813,5JY00641,5YW00234,,Overhaul,14793.0
NP16827,,TR,793C,DESPACHO,,2007-03-01 00:00:00,2006-04-05,0R4749,10059804,4AR00123,,,545445.0
NP16890,CONTRATO MEL,DI,797B,DESPACHO,2006-03-30,2006-05-31 00:00:00,2006-04-01,0R9815,136092203D,JSM00173,,,13367.0
CI06772,INTERCAMBIO,DI,793B,DESPACHO,2006-03-31,2006-05-31 00:00:00,2006-03-31,1350471C,CRA01907,1HL00512,,Overhaul,9871.0
EN07846,CONTRATO MEL,DI,797B,DESPACHO,2006-04-01,2006-05-01 00:00:00,2006-04-01,0R9815,X,JSM00181,,,7761.0
CI06471,INTERCAMBIO,MO,16H,DESPACHO,2006-04-01,2006-07-01 00:00:00,2006-04-01,1107949,41Z22456,6ZJ00029,,Overhaul,3658.0
NP16957,SUC. ANTOFAGASTA,DI,992G,DESPACHO,2006-03-02,2006-07-02 00:00:00,2006-03-02,,CRA05070,0AZX00356,,,857.0
CI06785,INTERCAMBIO,DI,793C,DESPACHO,2006-04-03,2006-05-15 00:00:00,2006-04-03,1350471C,CRA02423,4GZ00099,,Overhaul,11478.0
NP16860,EL ABRA,TR,793B,DESPACHO,2006-04-04,2006-07-31 00:00:00,2006-10-03,840008,6LE99999,1HL00368,,Overhaul,94441.0
CI06798,INTERCAMBIO,DI,854G,DESPACHO,2006-04-04,2006-06-30 00:00:00,,2375716,CRA03364,AMP00283,,Overhaul,12359.0
CI06726,INTERCAMBIO,MO,785B,DESPACHO,2006-04-05,2006-07-05 00:00:00,2006-04-05,0R3982,4WJ00700,6HK00400,,Overhaul,15000.0
CI06720,INTERCAMBIO,MO,793B,DESPACHO,2006-04-05,2006-07-05 00:00:00,,0R9659,7CL01463,1HL00371,,Overhaul,13556.0
CI06641,INTERCAMBIO,TR,789B,DESPACHO,2006-04-05,2006-07-31 00:00:00,2006-04-05,0R4007,30T01214,9ZC00544,,Overhaul,12430.0
CI06718,INTERCAMBIO,MO,777D,DESPACHO,2006-04-05,2006-07-05 00:00:00,2006-10-03,0R9841,2GR02720,AGC01217,,Overhaul,15406.0
CI06654,INTERCAMBIO,MO,D10N,DESPACHO,2006-04-05,2006-07-05 00:00:00,,0R7315,73W16957,2YD00384,,Overhaul,8385.0
NP16924,MARICUNGA,MO,D9R,DESPACHO,2006-04-05,2006-06-30 00:00:00,2006-04-05,1635785,5XD03611,ACL01114,,Puntual,4785.0
CI06626,INTERCAMBIO,MO,773B,DESPACHO,2006-04-05,2100-12-31 00:00:00,2006-06-02,1037416,CRA05155,63W03688,,Overhaul,11583.0
CI06784,INTERCAMBIO,CO,793C,DESPACHO,2006-04-06,2006-07-31 00:00:00,2006-04-06,0R4090,CRA03230,4GZ00099,,Overhaul,12535.0
NP16926,ESCONDIDA,TR,854G,DESPACHO,2006-04-06,2006-07-31 00:00:00,2006-10-03,6Y6965,9BX01466,AMP00347,,Overhaul,8199.0
NP16601,EL ABRA,MF,793B,DESPACHO,2006-04-06,2006-07-31 00:00:00,2006-10-03,10R1822,10057596,1HL00138,,Overhaul,8794.0
CI66666,CENTRO DE SERVICIOS LA NEGRA,DI,789B,DESPACHO,2006-04-07,2006-11-30 00:00:00,2006-11-14,1256046,CRA0045,7EK000001,,Overhaul,2.0
CI06692,INTERCAMBIO,MO,777C,DESPACHO,2006-04-07,2006-06-10 00:00:00,2006-04-12,0R3981,5TL00542,4XJ00508,,Overhaul,14258.0
CI06727,INTERCAMBIO,MO,16H,DESPACHO,2006-04-07,2006-04-30 00:00:00,2006-04-13,1107949,11N16253,6ZJ00619,,Overhaul,12118.0
CI06777,INTERCAMBIO,MO,797,DESPACHO,2006-04-07,2007-06-30 00:00:00,2006-04-13,0R8668,3TN00441,5YW00238,,Overhaul,15534.0
CI06729,INTERCAMBIO,MO,793C,DESPACHO,2006-04-07,2006-06-12 00:00:00,,0R9558,7TR01081,ATY00200,,Overhaul,14578.0
NP16880,EL ABRA,MO,D11N,DESPACHO,2006-04-07,2006-06-07 00:00:00,2006-04-12,0R3980,7YG01172,4HK00537,,Puntual,9538.0
NP16939,SUC. ANTOFAGASTA,MO,3412,DESPACHO,2006-04-07,2006-10-31 00:00:00,2006-04-13,4W1757,38S19088,38S19088,,Puntual,10681.0
NP16963,ESCONDIDA,MO,793B,DESPACHO,2006-04-07,2006-06-12 00:00:00,2006-04-12,1215793,2PK01604,1HL00245,,Puntual,15000.0
CI06806,INTERCAMBIO,CO,793C,DESPACHO,2006-04-07,2006-07-31 00:00:00,2006-04-07,0R4089,CRA01080,ATY00636,,Overhaul,14150.0
CI06810,INTERCAMBIO,CO,793C,DESPACHO,2006-04-07,2006-07-31 00:00:00,2006-10-03,0R4089,CRA01756,4AR00127,,Overhaul,13206.0
NP16959,ESCONDIDA,TR,793C,DESPACHO,2006-04-08,2006-05-31 00:00:00,,9U0241,4EX00660,4AR00241,,Overhaul,12000.0
CI06800,INTERCAMBIO,CO,834B,DESPACHO,2006-04-08,2006-05-09 00:00:00,2006-10-03,0R4082,CRA01661,92Z00565,,Overhaul,12094.0
CI06796,INTERCAMBIO,CO,854G,DESPACHO,2006-04-08,2006-05-09 00:00:00,2006-04-08,0R4808,10040338,AMP00283,,Overhaul,12359.0
CI06770,INTERCAMBIO,DI,789C,DESPACHO,2006-04-08,2006-07-31 00:00:00,2006-04-08,1256046,CRA04289,2BW00533,,Overhaul,1256046.0
CI06719,INTERCAMBIO,MO,992G,DESPACHO,2006-04-08,2006-05-09 00:00:00,2006-10-03,0R9842,2GR02686,ADZ00197,,Overhaul,13545.0
NP16938,ESCONDIDA,TR,24H,DESPACHO,2006-04-10,2006-05-31 00:00:00,2006-04-10,8E1298,1KY00586,7KK00099,,Overhaul,8.0
CI06799,INTERCAMBIO,DI,854G,DESPACHO,2006-04-10,2006-06-30 00:00:00,2006-04-10,2375714,CRA04278,AMP00283,,Overhaul,12359.0
CI66100,INTERCAMBIO,TR,994D,DESPACHO,2006-04-10,2100-12-31 00:00:00,2006-12-04,0R9547,5YF00852,3TZ00279,,Overhaul,12564.0
N116928,ESCONDIDA,MA,777D,DESPACHO,2006-04-10,2006-05-31 00:00:00,2006-10-03,9D2680,SIN SERIE,AGC001315,,Overhaul,1.0
NP16899,EL TESORO,MO,D9R,DESPACHO,2006-04-11,2006-06-11 00:00:00,2006-10-03,1635784,5XD01052,ABK00776,,Overhaul,8560.0
N16981A,CONTRATO MEL,DI,797B,DESPACHO,2006-04-11,2006-06-30 00:00:00,2006-04-11,1872033,491220006GD,JSM00165,,Overhaul,12834.0
NP16918,RADOMIRO TOMIC,MO,D10R,DESPACHO,2006-04-11,2006-06-11 00:00:00,2006-10-03,0R7542,BNF00360,3KR00837,,Puntual,1083.0
CI06809,INTERCAMBIO,MO,793C,DESPACHO,2006-04-11,2006-06-30 00:00:00,,0R7568,CPW00494,4AR00127,,Overhaul,13206.0
CI06807,INTERCAMBIO,MO,793C,DESPACHO,2006-04-11,2006-06-30 00:00:00,2006-04-13,0R7568,8WM00388,ATY00636,,Overhaul,14150.0
CI06802,INTERCAMBIO,MO,785B,DESPACHO,2006-04-11,2006-06-30 00:00:00,2006-04-13,0R3982,4WJ00522,6HK00370,,Overhaul,19964.0
CI06813,INTERCAMBIO,MO,D10R,DESPACHO,2006-04-11,2006-06-30 00:00:00,2006-08-01,0R7542,80M04564,3KR00836,,Overhaul,11866.0
CI06779,INTERCAMBIO,MO,785B,DESPACHO,2006-04-11,2006-06-30 00:00:00,2006-04-13,0R3982,4WJ00230,6HK00696,,Overhaul,22000.0
CI06782,INTERCAMBIO,MO,D11R,DESPACHO,2006-04-11,2006-07-31 00:00:00,2006-06-05,0R8550,5SX00309,9TR00544,,Overhaul,15000.0
CI06783,INTERCAMBIO,MO,994,DESPACHO,2006-04-11,2006-06-30 00:00:00,2006-07-26,0R3955,6CL00463,9YF00191,,Overhaul,17330.0
CI06774,INTERCAMBIO,MO,789B,DESPACHO,2006-04-11,2006-06-30 00:00:00,2006-04-13,0R3983,7CL01449,7EK00637,,Overhaul,14016.0
CI06775,INTERCAMBIO,MO,789B,DESPACHO,2006-04-11,2006-06-30 00:00:00,2006-04-13,0R3983,7CL01048,7EK00348,,Overhaul,12133.0
CI06786,INTERCAMBIO,MO,D9R,DESPACHO,2006-04-11,2006-07-31 00:00:00,2006-06-23,0R7446,99C02550,8BL01081,,Overhaul,17979.0
CI06791,INTERCAMBIO,MO,988F,DESPACHO,2006-04-11,2006-06-30 00:00:00,2006-04-13,0R7445,99C04988,2ZR01703,,Overhaul,11320.0
NP16970,ESCONDIDA,MF,777D,DESPACHO,2006-04-11,2006-06-28 00:00:00,2006-04-12,0R9031,1005929,3PR00954,,Puntual,1.0
NP16972,ESCONDIDA,MF,777D,DESPACHO,2006-04-11,2006-06-29 00:00:00,,1070876,CRA04683,3PR00954,,Overhaul,1.0
NP16906,CONTRATO MEL,MF,797,DESPACHO,2006-04-11,2006-06-30 00:00:00,2006-04-12,0R9814,102225,5YW00259,,Puntual,2992.0
NP16894,INTERCAMBIO,MF,797,DESPACHO,2006-04-11,2100-12-31 00:00:00,2006-07-24,1872032,302279,5YW00234,,Puntual,7954.0
CI06781,INTERCAMBIO,MF,793B,DESPACHO,2006-04-11,2006-07-27 00:00:00,2006-04-12,10R1822,CRA02217,1HL00438,,Overhaul,15079.0
NP16903,INTERCAMBIO,MF,797,DESPACHO,2006-04-11,2006-08-31 00:00:00,2006-04-12,0R9814,200083,5YW00271,,Overhaul,10526.0
NP16920,INTERCAMBIO,MF,797B,DESPACHO,2006-04-11,2006-07-27 00:00:00,2006-04-12,0R9814,603216,JSM00167,,Overhaul,15204.0
