NPersonal,estadoFinalizado,calificacion,puntaje,IDCurso
3482847,1,,0.0,CAD00424
3484587,1,,0.0,CAD00424
3479002,1,,0.0,CAD00424
3479445,1,,0.0,CAD00424
3484033,1,,0.0,CAD00424
3484096,1,,0.0,CAD00424
3484067,1,Apto,83.33,CAD00424
3481104,1,,0.0,CAD00424
3483156,1,Apto,83.33,CAD00424
3479182,1,,0.0,CAD00424
3482863,1,,0.0,CAD00424
3482894,1,,0.0,CAD00424
3484098,1,,0.0,CAD00424
3479189,1,,0.0,CAD00424
3479266,1,,0.0,CAD00424
3481128,1,,0.0,CAD00424
3480944,1,,0.0,CAD00424
3477878,1,,0.0,CAD00424
3482808,1,,0.0,CAD00424
3484035,1,,0.0,CAD00424
3484397,1,,0.0,CAD00424
3480211,1,,0.0,CAD00424
3477873,1,,0.0,CAD00424
3482354,1,,0.0,CAD00424
3479511,1,,0.0,CAD00424
3481217,1,,0.0,CAD00424
3479131,1,Apto,91.66,CAD00424
3479514,1,,0.0,CAD00424
3484207,1,,0.0,CAD00424
3477848,1,,0.0,CAD00424
3479261,1,,0.0,CAD00424
3480579,1,,0.0,CAD00424
3477873,1,,0.0,CAD00424
3480201,1,,0.0,CAD00424
3479202,1,,0.0,CAD00424
3483833,1,,0.0,CAD00424
3483834,1,,0.0,CAD00424
3482308,1,,0.0,CAD00424
3484056,1,,0.0,CAD00424
3478195,1,,0.0,CAD00424
3484134,1,,0.0,CAD00424
3482703,1,,0.0,CAD00424
3477873,1,,0.0,CAD00424
3482308,1,,0.0,CAD00424
3477878,1,,0.0,CAD00424
3478962,1,,0.0,CAD00424
3480579,1,,0.0,CAD00424
3482354,1,,0.0,CAD00424
3482577,1,,0.0,CAD00424
3482847,1,,0.0,CAD00424
3484134,1,,0.0,CAD00424
3477848,1,,0.0,CAD00424
3481099,1,,0.0,CAD00424
3482863,1,,0.0,CAD00424
3483156,1,,0.0,CAD00424
3479002,1,,0.0,CAD00424
3479511,1,,0.0,CAD00424
3479514,1,,0.0,CAD00424
3481104,1,,0.0,CAD00424
3484207,1,,0.0,CAD00424
3479009,1,,0.0,CAD00424
3479261,1,,0.0,CAD00424
3479266,1,,0.0,CAD00424
3480944,1,,0.0,CAD00424
3481128,1,,0.0,CAD00424
3482703,1,,0.0,CAD00424
3482894,1,,0.0,CAD00424
3484033,1,,0.0,CAD00424
3484035,1,,0.0,CAD00424
3484587,1,,0.0,CAD00424
3479131,1,,0.0,CAD00424
3479287,1,,0.0,CAD00424
3480123,1,,0.0,CAD00424
3480184,1,,0.0,CAD00424
3484056,1,,0.0,CAD00424
3484397,1,,0.0,CAD00424
3480201,1,,0.0,CAD00424
3481217,1,Apto,81.81,CAD00424
3483814,1,,0.0,CAD00424
3484067,1,,0.0,CAD00424
3479164,1,,0.0,CAD00424
3479445,1,,0.0,CAD00424
3480211,1,,0.0,CAD00424
3481247,1,,0.0,CAD00424
3483834,1,,0.0,CAD00424
3483833,1,,0.0,CAD00424
3484096,1,,0.0,CAD00424
3484098,1,,0.0,CAD00424
3478195,1,,0.0,CAD00424
3478927,1,,0.0,CAD00424
3479182,1,,0.0,CAD00424
3479189,1,,0.0,CAD00424
3479202,1,,0.0,CAD00424
3479459,1,,0.0,CAD00424
3482808,1,,0.0,CAD00424
3481099,1,Apto,90.0,CG21
3479002,0,,0.0,
3479189,1,Apto,80.0,HME1298
3482577,1,Apto,70.0,HME1298
3482577,1,No apto,33.0,HME1298
3479002,1,Apto,93.0,HME1298
3481247,1,Apto,73.0,HME1298
3478962,1,Apto,70.0,HME0929
3479182,1,Apto,80.0,HME0921
3480123,1,Apto,95.0,HME0921
3484587,1,Apto,80.0,HME0921
3483833,1,Apto,90.0,HME0921
3483834,1,Apto,70.0,HME0921
3482894,1,Apto,90.0,HME0921
3484033,1,Apto,90.0,HME0921
3484056,1,Apto,100.0,HME0921
3477873,1,Apto,80.0,HME0921
3480184,1,Apto,86.0,HME0930
3479131,1,Apto,83.0,HME0150
3479131,1,Apto,83.0,HME0150
3488758,1,Apto,100.0,
3484033,0,,0.0,
3478927,1,Apto,100.0,
3478962,1,Apto,100.0,
3479002,1,Apto,100.0,
3479009,1,Apto,90.0,
3479131,1,Apto,90.0,
3479164,1,Apto,100.0,
3479182,1,Apto,100.0,
3479189,1,Apto,80.0,
3479202,1,Apto,80.0,
3477848,1,Apto,90.0,
3477873,1,Apto,90.0,
3477878,1,Apto,90.0,
3479266,1,Apto,100.0,
3479261,1,Apto,90.0,
3479287,1,Apto,90.0,
3478195,1,Apto,100.0,
3479445,1,Apto,90.0,
3479459,1,Apto,80.0,
3479514,1,Apto,100.0,
3479511,1,Apto,100.0,
3480123,1,Apto,80.0,
3480184,1,Apto,100.0,
3480201,1,Apto,100.0,
3480211,1,Apto,90.0,
3480579,1,Apto,100.0,
3480944,1,Apto,90.0,
3481099,1,Apto,90.0,
3481104,1,Apto,90.0,
3481128,1,Apto,100.0,
