OSMadre,Orden,costoRepuesto,costoMO,costoTTA,costoTotal,wip
505900342200,505900342203,774.08,0.0,0.0,774.08,194
505900342200,505900342204,0.0,0.0,0.0,0.0,0
505900342200,505900342205,2975.43,0.0,0.0,2975.43,53
505900342200,505900342206,0.0,1378.4,0.0,1378.4,181
505900342200,505900342207,2321.25,0.0,0.0,2321.25,52
505900342200,505900342208,0.0,0.0,0.0,0.0,0
505900342200,505900342209,0.0,0.0,0.0,0.0,0
505900346800,505900346801,306652.52,54048.53,1535.51,378055.44,344
505900346800,505900346802,0.0,0.0,0.0,0.0,0
505900346800,505900346803,5042.43,0.0,0.0,5042.43,302
505900346800,505900346804,0.0,0.0,0.0,0.0,0
505900346800,505900346805,4575.72,0.0,0.0,4575.72,18
505900346800,505900346806,0.0,0.0,0.0,0.0,255
505900346800,505900346807,0.0,0.0,0.0,0.0,0
505900346800,505900346808,0.0,0.0,0.0,0.0,0
505900346800,505900346809,0.0,0.0,0.0,0.0,751
505900359900,505900359901,379191.46,64337.31,9672.18,482214.46,272
505900359900,505900359902,0.0,0.0,0.0,0.0,0
505900359900,505900359903,1178.91,0.0,0.0,1178.91,244
505900359900,505900359904,0.0,0.0,0.0,0.0,0
505900359900,505900359905,8000.52,0.0,0.0,8000.52,23
505900359900,505900359906,0.0,0.0,0.0,0.0,95
505900381400,505900381401,29619.91,14533.15,361.36,44740.97,157
505900381400,505900381402,0.0,0.0,0.0,0.0,0
505900381400,505900381403,400.19,0.0,0.0,400.19,141
505900381400,505900381404,0.0,0.0,0.0,0.0,0
505900381400,505900381405,354.19,0.0,0.0,354.19,8
505900381400,505900381406,0.0,0.0,0.0,0.0,0
505900381400,505900381407,0.0,0.0,0.0,0.0,0
505900381400,505900381408,0.0,0.0,0.0,0.0,0
505900381400,505900381409,0.0,0.0,0.0,0.0,285
505900383600,505900383601,347965.17,73800.37,10847.33,454769.0,305
505900383600,505900383602,0.0,0.0,0.0,0.0,0
505900383600,505900383603,21726.45,0.0,0.0,21726.45,348
505900383600,505900383604,0.0,0.0,0.0,0.0,0
505900383600,505900383605,21032.16,0.0,0.0,21032.16,28
505900388500,505900388501,38435.28,8698.23,0.0,52075.38,139
505900388500,505900388502,0.0,0.0,0.0,0.0,0
505900388500,505900388503,0.0,0.0,0.0,0.0,0
505900388500,505900388504,0.0,0.0,0.0,0.0,0
505900388500,505900388505,0.0,0.0,0.0,0.0,0
505900388500,505900388506,0.0,0.0,0.0,0.0,0
505900388500,505900388507,0.0,0.0,0.0,0.0,0
505900388500,505900388508,0.0,0.0,0.0,0.0,580
505900388500,505900388509,30294.64,0.0,0.0,30294.64,126
505900388500,505900388510,16023.97,0.0,0.0,16023.97,137
505900388500,505900388511,0.0,0.0,0.0,0.0,0
505900393000,505900393001,269892.7,48317.74,1736.63,335768.21,362
505900393000,505900393002,0.0,0.0,0.0,0.0,0
505900393000,505900393003,9901.1,0.0,0.0,9901.1,335
505900393000,505900393004,0.0,0.0,0.0,0.0,273
505900393000,505900393005,-0.54,0.0,0.0,-0.54,24
505900393000,505900393006,0.0,0.0,0.0,0.0,0
505900393000,505900393007,0.0,0.0,0.0,0.0,0
