OSMadre,Orden,Operacion,NPersonal,TrabajoReal
505900078900,505900078901,20,3475668,4.5
505900078900,505900078901,20,3477871,28.5
505900078900,505900078901,20,3478955,5.0
505900078900,505900078901,20,3479456,1.0
505900078900,505900078901,20,3482686,16.0
505900078900,505900078901,20,3483062,6.0
505900078900,505900078901,20,3484585,28.5
505900078900,505900078901,30,3479013,10.0
505900078900,505900078901,30,3479456,1.0
505900078900,505900078901,30,3484533,4.0
505900078900,505900078901,40,3479194,14.0
505900078900,505900078901,40,3479413,26.5
505900078900,505900078901,40,3479456,1.0
505900078900,505900078901,50,3477871,17.0
505900078900,505900078901,50,3479194,2.0
505900078900,505900078901,50,3479456,1.0
505900078900,505900078901,50,3483758,8.0
505900078900,505900078901,50,3483782,14.0
505900078900,505900078901,60,3479456,1.0
505900078900,505900078901,60,3479994,17.0
505900078900,505900078901,60,3483603,6.5
505900078900,505900078901,70,3479194,2.0
505900078900,505900078901,70,3479456,1.0
505900078900,505900078901,70,3482686,5.5
505900078900,505900078901,80,3479456,1.0
505900078900,505900078901,90,3477881,8.0
505900078900,505900078901,90,3479456,1.0
505900078900,505900078901,100,3477881,8.0
505900078900,505900078901,100,3479456,1.0
505900078900,505900078901,110,3477881,2.0
505900078900,505900078901,110,3479456,1.0
505900078900,505900078901,120,3479456,1.0
505900078900,505900078901,130,3478983,2.0
505900078900,505900078901,140,3478983,2.0
505900078900,505900078901,150,3478983,2.0
505900078900,505900078901,160,3478983,2.0
505900078900,505900078901,170,3479670,3.0
505900078900,505900078901,180,3477871,4.0
505900078900,505900078901,190,3479456,1.0
505900078900,505900078901,190,3479994,7.0
505900078900,505900078901,200,3479314,10.5
505900078900,505900078901,200,3479456,1.0
505900078900,505900078901,200,3482892,2.5
505900078900,505900078901,200,3483603,10.5
505900078900,505900078901,210,3477871,17.5
505900078900,505900078901,210,3479456,1.0
505900078900,505900078901,210,3483758,15.0
505900078900,505900078901,220,3479194,8.0
505900078900,505900078901,220,3483062,10.0
505900078900,505900078901,230,3483062,12.0
505900078900,505900078901,240,3477879,10.5
505900078900,505900078901,240,3479511,1.0
505900078900,505900078901,240,3482308,5.0
505900078900,505900078901,240,3482809,8.5
505900078900,505900078901,240,3483757,8.5
505900078900,505900078901,240,3483833,0.5
505900078900,505900078901,240,3483834,10.5
505900078900,505900078901,250,3482704,10.5
505900078900,505900078901,250,3483604,10.5
505900078900,505900078901,250,3483720,10.5
505900078900,505900078901,250,3483757,10.5
505900078900,505900078901,260,3479013,17.0
505900078900,505900078901,260,3479994,3.5
505900078900,505900078901,260,3482892,3.0
505900078900,505900078901,270,3482892,18.0
505900078900,505900078901,280,3478983,1.5
505900078900,505900078901,290,3478983,2.5
505900078900,505900078901,350,3477881,16.0
505900078900,505900078901,360,3477881,8.5
505900078900,505900078901,360,3478171,2.0
505900078900,505900078901,370,3477881,2.0
505900078900,505900078901,370,3480474,2.0
505900078900,505900078901,380,3482868,17.0
505900078900,505900078901,390,3479668,5.5
505900078900,505900078901,390,3483604,10.5
505900078900,505900078901,400,3483065,21.0
505900078900,505900078901,400,3484533,3.0
505900078900,505900078901,410,3480921,10.5
505900078900,505900078901,410,3483756,25.5
505900078900,505900078901,420,3478983,10.5
505900078900,505900078901,420,3480921,12.5
505900078900,505900078901,420,3483756,3.0
505900078900,505900078901,420,3484445,10.5
505900078900,505900078901,430,3479670,10.5
505900078900,505900078901,430,3480412,5.5
505900078900,505900078901,430,3482575,2.0
505900078900,505900078901,430,3484533,3.0
505900078900,505900078901,440,3479186,10.5
505900078900,505900078901,440,3482809,31.5
505900078900,505900078901,440,3483757,21.0
505900078900,505900078901,450,3478983,31.5
505900078900,505900078901,450,3479017,4.5
505900078900,505900078901,450,3484445,31.5
505900078900,505900078901,460,3478590,10.5
505900078900,505900078901,460,3478983,42.0
505900078900,505900078901,460,3479832,2.0
505900078900,505900078901,460,3480526,10.5
505900078900,505900078901,460,3480790,10.5
505900078900,505900078901,460,3482809,10.5
505900078900,505900078901,460,3483757,10.5
505900078900,505900078901,460,3484445,42.0
505900078900,505900078901,470,3479832,44.0
505900080900,505900080901,10,3481152,6.0
505900080900,505900080901,20,3475668,24.0
505900080900,505900080901,20,3477887,8.0
505900080900,505900080901,20,3478955,32.0
505900080900,505900080901,20,3479456,1.0
505900080900,505900080901,20,3483605,10.5
505900080900,505900080901,30,3477887,12.0
505900080900,505900080901,40,3479456,1.0
505900080900,505900080901,40,3483065,36.0
505900080900,505900080901,50,3477881,16.0
505900080900,505900080901,50,3479456,1.0
505900080900,505900080901,60,3479456,1.0
505900080900,505900080901,80,3479456,1.0
505900080900,505900080901,90,3479456,1.0
505900080900,505900080901,100,3479456,1.0
505900080900,505900080901,110,3479456,1.0
505900080900,505900080901,120,3479456,1.0
505900080900,505900080901,140,3479456,1.0
505900080900,505900080901,150,3477848,20.0
505900080900,505900080901,160,3482686,8.0
505900080900,505900080901,160,3482868,3.0
505900080900,505900080901,160,3483758,2.0
505900080900,505900080901,170,3477887,2.5
505900080900,505900080901,170,3479456,1.0
505900080900,505900080901,170,3482868,1.5
505900080900,505900080901,170,3484533,2.25
505900080900,505900080901,180,3479456,1.0
505900080900,505900080901,180,3481152,16.0
505900080900,505900080901,180,3482868,4.0
505900080900,505900080901,180,3483756,29.0
505900080900,505900080901,190,3479314,2.5
505900080900,505900080901,190,3479456,1.0
505900080900,505900080901,190,3482892,19.0
505900080900,505900080901,200,3477881,3.5
505900080900,505900080901,210,3475668,8.0
505900080900,505900080901,210,3479456,1.0
505900080900,505900080901,210,3483062,15.5
505900080900,505900080901,210,3483605,5.5
505900080900,505900080901,220,3482704,10.5
505900080900,505900080901,220,3483782,5.0
505900080900,505900080901,220,3484533,8.0
505900080900,505900080901,230,3477871,20.0
505900080900,505900080901,230,3483605,21.0
505900080900,505900080901,230,3483720,21.0
505900080900,505900080901,240,3483605,5.0
505900080900,505900080901,250,3483605,5.5
505900080900,505900080901,250,3483720,7.0
505900080900,505900080901,260,3482892,6.5
505900080900,505900080901,270,3479314,8.0
505900080900,505900080901,270,3482892,10.5
505900080900,505900080901,280,3483062,6.0
505900080900,505900080901,280,3483604,16.0
505900080900,505900080901,290,3483604,15.5
505900080900,505900080901,300,3477876,28.0
505900080900,505900080901,300,3483756,14.0
505900080900,505900080901,310,3483758,6.5
505900080900,505900080901,320,3478634,16.0
505900080900,505900080901,320,3479015,94.5
505900080900,505900080901,320,3479848,10.5
505900080900,505900080901,320,3480423,31.5
505900080900,505900080901,320,3480537,16.0
505900080900,505900080901,330,3479832,10.5
505900080900,505900080901,330,3480517,10.5
505900080900,505900080901,410,3483065,10.5
505900080900,505900080901,420,3480423,5.5
505900088700,505900088701,30,3475668,47.0
505900088700,505900088701,30,3482790,40.0
505900088700,505900088701,40,3475668,7.0
505900088700,505900088701,40,3480368,5.5
505900088700,505900088701,40,3482696,10.5
505900088700,505900088701,40,3482790,7.0
505900088700,505900088701,50,3479678,49.0
505900088700,505900088701,50,3479681,31.5
505900088700,505900088701,50,3479753,49.0
505900088700,505900088701,50,3480705,31.5
505900088700,505900088701,60,3478590,73.5
505900088700,505900088701,60,3478671,73.5
505900088700,505900088701,60,3479958,24.5
505900088700,505900088701,60,3479999,10.5
505900088700,505900088701,60,3480790,17.5
505900088700,505900088701,70,3475668,40.0
505900088700,505900088701,70,3478955,40.0
505900088700,505900088701,70,3479681,5.5
505900088700,505900088701,90,3477871,10.5
505900088700,505900088701,90,3480368,5.0
505900088700,505900088701,90,3482790,10.0
505900088700,505900088701,90,3483759,7.0
505900088700,505900088701,100,3479681,21.0
505900088700,505900088701,100,3480412,30.0
505900088700,505900088701,110,3483062,9.0
505900088700,505900088701,120,3479013,20.5
505900088700,505900088701,120,3482142,3.0
505900088700,505900088701,130,3482868,10.0
505900088700,505900088701,140,3479096,13.5
