Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;B9H 2310876;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
214-7568;1;;1201;SEAL-O-RING;227-9545;;CCR BLK
238-5080;1;;1201;SEAL-O-RING;227-9545;;CCR BLK
3B-0623;3;;1201;PLUG-CUP;240-7271;;CCR BLK
214-7566;1;;1201;SEAL-O-RING;240-7271;;CCR BLK
214-7566;1;;1201;SEAL-O-RING;223-3875;;CCR BLK
3B-0623;1;;1201;PLUG-CUP;117-0165;;CCR BLK
9Y-0810;1;;1204;SLEEVE-WEAR (REAR);224-3881;;CCR BLK
9Y-0821;1;;1204;SLEEVE (FRONT);224-3881;;CCR BLK
246-3144;2;;1204;PLATE-THRUST;224-3881;;CCR BLK
1B-8705;1;;1210;KEY-WOODRUFF;223-7463;;CCR BLK
223-7471;1;;1210;PLATE-THRUST;223-7463;;CCR BLK
131-3718;1;;1210;SEAL-O-RING;223-7463;;CCR BLK
9M-1974;4;;1210;WASHER-HARD (8.8X16X2-MM THK);223-7463;;CCR BLK
7C-7852;1;;1162;BEARING;222-3088;;CCR DESAR
133-7084;1;;1162;BUSHING;222-3088;;CCR DESAR
1W-4738;1;;1204;BUSHING;277-5425;;CCR DESAR
160-8184;1;;1204;BUSHING;277-5425;;CCR DESAR
277-8283;1;;1204;COVER;277-5425;;CCR DESAR
4N-1230;2;;1204;SEAL-O-RING;277-5425;;CCR DESAR
6V-5839;12;;1204;WASHER (11X21X2.5-MM THK);277-5425;;CCR DESAR
197-9642;1;;1207;PULLEY AS-IDLER (8-GROOVE);260-1406;;CCR DESAR
211-7895;1;;1207;BELT TENSIONER;260-1406;;CCR DESAR
5P-8245;4;;1207;WASHER-HARD (13.5X25.5X3-MM THK);260-1406;;CCR DESAR
6V-5839;3;;1207;WASHER (11X21X2.5-MM THK);260-1406;;CCR DESAR
8T-4121;1;;1207;WASHER-HARD (11X21X2.5-MM THK);260-1406;;CCR DESAR
9M-1974;2;;1207;WASHER-HARD (8.8X16X2-MM THK);260-1406;;CCR DESAR
8T-4222;1;;1207;WASHER-PLATED (11X32X2.5-MM THK);260-1406;;CCR DESAR
272-0389;1;;1120;SEAL;267-0010;;CCR DESAR
132-5789;1;;1120;CLIP (LADDER);267-0010;;CCR DESAR
9M-1974;13;;1120;WASHER-HARD (8.8X16X2-MM THK);267-0010;;CCR DESAR
321-5639;1;;1120;SEAL;365-1208;;CCR DESAR
9M-1974;2;;1120;WASHER-HARD (8.8X16X2-MM THK);365-1208;;CCR DESAR
321-5639;1;;1120;SEAL;325-4505;;CCR DESAR
9M-1974;2;;1120;WASHER-HARD (8.8X16X2-MM THK);325-4505;;CCR DESAR
10R-6694;3;;1130;ACTUATOR AS;248-6662;;CCR DESAR
0L-1026;2;;1209;PLUG-CUP;237-4376;;CCR DESAR
5L-4763;1;;1209;PIN-SPRING;237-4376;;CCR DESAR
3S-6605;6;;1123;PLUG-CUP;260-0252;;CCR DESAR
258-8721;6;;1123;BUTTON;260-0251;;CCR DESAR
274-4490;6;;1123;SCREW-ADJUSTMENT;260-0251;;CCR DESAR
8L-2777;6;;1123;SEAL-O-RING;260-0251;;CCR DESAR
260-7524;6;;1123;SCREW-VALVE ADJUSTMENT (M10X1.5-THD);261-2290;;CCR DESAR
260-7524;6;;1123;SCREW-VALVE ADJUSTMENT (M10X1.5-THD);261-2294;;CCR DESAR
9X-7317;6;;1290;SEAL-O-RING;249-0713;;CCR DESAR
230-3728;6;;1290;SEAL-O-RING;249-0713;;CCR DESAR MO-SM
230-3775;6;;1290;SEAL-O-RING;249-0713;;CCR DESAR MO-SM
10R-3262;6;;1290;INJECTOR GP-FUEL;249-0713;;CCR DESAR
107-5769;1;;1256;SEAL-O-RING;301-2262;;CCR DESAR
5P-4889;1;;1256;SEAL-O-RING;301-2262;;CCR DESAR
6V-5839;4;;1256;WASHER (11X21X2.5-MM THK);301-2262;;CCR DESAR
20R-1524;1;;1256;PUMP GP-F XFR -A;301-2262;;CCR DESAR
153-7950;1;;1274;HOSE AS;289-4112;;CCR DESAR
136-9141;1;;1274;LINE-FUEL;289-4112;;CCR DESAR
285-2237;1;;1274;HOSE AS;289-4112;;CCR DESAR
067-2551;1;;1274;CLIP;289-4112;;CCR DESAR
3K-0360;1;;1274;SEAL-O-RING;289-4112;;CCR DESAR
6V-8397;1;;1274;SEAL-O-RING;289-4112;;CCR DESAR
3J-1907;3;;1274;SEAL-O-RING;289-4112;;CCR DESAR
6V-5839;2;;1274;WASHER (11X21X2.5-MM THK);289-4112;;CCR DESAR
281-2725;1;;1250;VALVE GP-CHECK -FUEL;281-2725;;CCR DESAR
6V-6923;1;;1250;RING-BACKUP;281-2725;;CCR DESAR
033-6033;1;;1250;SEAL-O-RING;281-2725;;CCR DESAR
238-5081;1;;1274;SEAL-O-RING;233-6742;;CCR DESAR
6P-5353;1;;1274;HOSE AS;254-4999;;CCR DESAR
153-9086;1;;1274;HOSE AS;254-4999;;CCR DESAR
177-4950;1;;1274;HOSE AS;254-4999;;CCR DESAR
067-2551;1;;1274;CLIP;254-4999;;CCR DESAR
3K-0360;1;;1274;SEAL-O-RING;254-4999;;CCR DESAR
6V-8397;1;;1274;SEAL-O-RING;254-4999;;CCR DESAR
