Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;Cart 03-01-2021 ;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
101-6603;2;;1408;Cap;251-7428;Connection GP-Electrical;CCR TU&EL
8T-9655;8;;1901;Mount-Isolation;351-2235;Control & Mtg GP-Engine Elek;CCR TU&EL
7X-0579;3;;1901;Washer-Hard;351-2235;Control & Mtg GP-Engine Elek;CCR TU&EL
8T-4224;7;;1901;Washer-Hard;351-2235;Control & Mtg GP-Engine Elek;CCR TU&EL
7S-8767;2;;1375;Gasket;346-0614;Cooler GP-Transmission Oil;CCR DESARME
10R-8649;1;;1375;Core AS-Oclr;346-0614;Cooler GP-Transmission Oil;CCR DESARME
227-5538;1;;1201;Seal-O-Ring;347-8300;Cover GP-Cylinder Block;CCR DESARME
234-8937;2;;1201;Seal-Integral;347-8300;Cover GP-Cylinder Block;CCR DESARME
5P-8429;2;;1201;Seal-O-Ring;347-8300;Cover GP-Cylinder Block;CCR DESARME
234-8937;1;;1201;Seal-Integral;353-4495;Cover GP-Cylinder Block;CCR DESARME
239-5571;1;;1201;Seal-Integral;353-4495;Cover GP-Cylinder Block;CCR DESARME
239-5572;1;;1201;Seal-Integral;353-4495;Cover GP-Cylinder Block;CCR DESARME
343-8888;1;;1201;Gasket;353-4495;Cover GP-Cylinder Block;CCR DESARME
7C-0307;1;;1201;Gasket;353-4495;Cover GP-Cylinder Block;CCR DESARME
239-1139;2;;1151;Seal;348-2533;Cover GP-Front Housing;CCR DESARME
125-9794;1;;1151;Seal-O-Ring;348-2533;Cover GP-Front Housing;CCR DESARME
2M-1538;1;;1151;Stud-Taperlock;348-2533;Cover GP-Front Housing;CCR DESARME
2P-1974;3;;1151;Stud-Taperlock;348-2533;Cover GP-Front Housing;CCR DESARME
3K-3256;1;;1151;Stud-Taperlock;348-2533;Cover GP-Front Housing;CCR DESARME
4W-3027;2;;1107;Breather AS;348-1111;Cover GP-Valve Mechanism;CCR DESARME
4W-3034;2;;1107;Clamp-Hose;348-1111;Cover GP-Valve Mechanism;CCR DESARME
212-7728;36;;1107;Isolator AS;348-1111;Cover GP-Valve Mechanism;CCR DESARME
224-7506;6;;1107;Seal-Valve Cover;348-1111;Cover GP-Valve Mechanism;CCR DESARME
033-6031;2;;1107;Seal-O-Ring;348-1111;Cover GP-Valve Mechanism;CCR DESARME
5P-8211;2;;1107;Seal-O-Ring;348-1111;Cover GP-Valve Mechanism;CCR DESARME
449-9059;6;;1107;Seal;459-0812;Cover GP-Valve Mechanism;CCR DESARME
061-9457;2;;1107;Seal-O-Ring;459-0812;Cover GP-Valve Mechanism;CCR DESARME
7E-6508;12;;1120;Cap AS;395-3227;Base GP-Valve Cover & Inj Harn;CCR DESARME
6V-0128;2;;1120;Seal-Connector;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME
326-4512;12;;1120;Mounting-Cable Tie;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME
435-8538;2;;1120;Harness AS-Engine;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME
123-3202;12;;1120;Strap-Cable;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME
222-6456;2;;1120;Seal;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME
8T-4205;4;;1120;Washer-Hard;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME
253-1752;2;;1202;Plate-Thrust;224-3250;Crankshaft GP;CCR BLOCK
142-5867;1;;1160;Seal-Crankshaft;319-7401;Seal GP-Crankshaft;CCR BLOCK
142-5868;1;;1160;Seal-Crankshaft;319-0785;Seal GP-Crankshaft;CCR BLOCK
354-8484;2;;1201;Gasket-Plate;349-2859;Cylinder Block GP;CCR DESARME
5P-8356;4;;1201;Seal-O-Ring;349-2859;Cylinder Block GP;CCR DESARME
238-5082;2;;1201;Seal-O-Ring;349-2859;Cylinder Block GP;CCR DESARME
6L-4428;3;;1201;Stud-Taperlock;349-2859;Cylinder Block GP;CCR DESARME
214-7566;1;;1201;Seal-O-Ring;349-2859;Cylinder Block GP;CCR DESARME
3B-0645;1;;1201;Plug-Cup;349-2859;Cylinder Block GP;CCR DESARME
359-1439;48;;1100;Seal AS-Water;339-3585;Cylinder Head GP;CCR DESARME
225-3099;2;;1100;Gasket-Cylinder Head;339-3585;Cylinder Head GP;CCR DESARME
445-8643;1;;1100;Panel;339-3585;Cylinder Head GP;CCR DESARME
214-7568;10;;1100;Seal-O-Ring;339-3585;Cylinder Head GP;CCR DESARME
6V-6609;4;;1100;Seal-O-Ring;339-3585;Cylinder Head GP;CCR DESARME
0L-1143;1;;1304;Bolt;119-8583;Fastener GP-Oil Pump Mounting;CCR DESARME
3G-2292;5;;1151;Bolt-Locking;355-2286;Gear GP-Front;CCR DESARME
4N-0342;1;;1151;Plate;355-2286;Gear GP-Front;CCR DESARME
7N-2443;1;;1151;Washer-Thrust;355-2286;Gear GP-Front;CCR DESARME
112-9217;1;;1151;Plate-Thrust;355-2286;Gear GP-Front;CCR DESARME
4N-0684;2;;1151;Dowel;355-2286;Gear GP-Front;CCR DESARME
1B-8705;2;;1151;Key-Woodruff;355-2286;Gear GP-Front;CCR DESARME
131-7123;1;;1151;Bushing;355-2286;Gear GP-Front;CCR DESARME
031-5085;6;;1151;Bolt-Locking;355-2286;Gear GP-Front;CCR DESARME
117-8801;2;;1151;Seal-O-Ring;355-2286;Gear GP-Front;CCR DESARME
5E-8771;2;;1151;Seal-O-Ring;355-2286;Gear GP-Front;CCR DESARME
214-1727;1;;1151;Gasket;350-1639;Housing GP-Front;CCR DESARME
2K-4973;1;;1151;Locknut;350-1639;Housing GP-Front;CCR DESARME
3K-3256;2;;1151;Stud-Taperlock;350-1639;Housing GP-Front;CCR DESARME
161-7293;1;;1166;Gasket-Cylinder;350-8861;Housing GP-Rear;CCR DESARME
