Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;r120ce7PZ;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
0S-1591;2;;1157;BOLT (3/8-16X1.5-IN);257-6339;COVER GP-FLYWHEEL HOUSING -REAR STRUCTURE;CCR DISTR
204-8000;2;;1157;MOUNTING-CABLE TIE;257-6339;COVER GP-FLYWHEEL HOUSING -REAR STRUCTURE;CCR DISTR
4P-8134;2;;1157;CLIP (LADDER);257-6339;COVER GP-FLYWHEEL HOUSING -REAR STRUCTURE;CCR DISTR
8N-9885;1;;1151;GASKET-COVER;382-5106;COVER GP-FRONT HOUSING -MOUNTED, LH;CCR DISTR
272-0760;2;;1107;SEAL-VALVE COVER;394-8039;COVER GP-VALVE MECHANISM;CCR M&B
272-0760;6;;1107;SEAL-VALVE COVER;449-4368;COVER GP-VALVE MECHANISM;CCR M&B
269-0196;2;;1107;FILM-WARNING (HOT SURFACE);449-4368;COVER GP-VALVE MECHANISM;CCR M&B
240-7957;2;;1107;FILM-WARNING (DO NOT OPERATE, READ OMM, INTL);449-4368;COVER GP-VALVE MECHANISM;CCR M&B
5R-7136;1;;1207;WASHER-SEALING;451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
5R-7137;2;;1207;WASHER-SEALING;451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
7C-3258;1;;1207;WASHER AS-THRUST;451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
127-5400;2;;1207;BUSHING;451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
7N-7539;2;;1207;WASHER-THRUST;451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
140-9597;1;;1207;BUSHING;451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
235-3546;1;;1207;SEAL-O-RING;451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
259-4598;2;;1207;SEAL-O-RING;451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
5M-2894;1;;1207;WASHER-HARD (10.2X18.5X2.5-MM THK);451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
5P-0840;1;;1207;SEAL-O-RING;451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
5P-8245;2;;1207;WASHER-HARD (13.5X25.5X3-MM THK);451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
5P-8247;2;;1207;WASHER-HARD (17X32X3.5-MM THK);451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
6V-3348;1;;1207;SEAL-O-RING;451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
9M-1974;4;;1207;WASHER-HARD (8.8X16X2-MM THK);451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
6V-8260;1;;1207;SEAL-O-RING;451-1831;DRIVE GP-ACCESSORY -LOWER, LH;CCR DISTR
1W-4736;1;;1207;GASKET-COVER;447-9360;DRIVE GP-ACCESSORY;CCR DISTR
7N-3011;5;;1207;BUSHING;447-9360;DRIVE GP-ACCESSORY;CCR DISTR
7N-8525;6;;1207;WASHER-THRUST;447-9360;DRIVE GP-ACCESSORY;CCR DISTR
0L-1026;3;;1207;PLUG-CUP;447-9360;DRIVE GP-ACCESSORY;CCR DISTR
2D-8154;6;;1207;STUD-TAPERLOCK (1/2-13X2.36-IN);447-9360;DRIVE GP-ACCESSORY;CCR DISTR
2J-6274;1;;1207;SEAL-O-RING;447-9360;DRIVE GP-ACCESSORY;CCR DISTR
3D-0472;2;;1207;STUD-TAPERLOCK (1/2-13X2.80-IN);447-9360;DRIVE GP-ACCESSORY;CCR DISTR
3F-5792;3;;1207;SEAL-O-RING;447-9360;DRIVE GP-ACCESSORY;CCR DISTR
8M-5253;3;;1207;SEAL-O-RING;447-9360;DRIVE GP-ACCESSORY;CCR DISTR
9Y-8386;1;;1207;GASKET;447-9360;DRIVE GP-ACCESSORY;CCR DISTR
1V-6341;2;;1207;SEAL;8N-8161;DRIVE GP-ACCESSORY;CCR DISTR
