Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;Cart GEB,246-562;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
7N-2156;2;1304;Bushing;7C-1772;Pump GP-Engine Oil;CCR BBA;;;
236-6733;1;1304;Spring;7C-1772;Pump GP-Engine Oil;CCR BBA;;;
8S-9191;12;1251;Bolt;235-1401;Pump GP-Fuel Injection;CCR DESARME;;;
20R-2284;12;1251;Injector GP-Fuel;235-1401;Pump GP-Fuel Injection;CCR DESARME;;;
1S-4295;2;1052;Gasket;292-8580;Turbocharger GP;CCR TU&EL;;;
2N-2765;6;1052;Bolt-High Temperature;292-8580;Turbocharger GP;CCR TU&EL;;;
2N-2766;8;1052;Locknut;292-8580;Turbocharger GP;CCR TU&EL;;;
5P-7128;2;1052;Bolt-High Temperature;292-8580;Turbocharger GP;CCR TU&EL;;;
284-0753;2;1052;Washer;292-8580;Turbocharger GP;CCR TU&EL;;;
5P-8134;11;1059;Cap-Protective;249-8533;Fastener GP-Manifold Shield;CCR DESARME;;;
324-9751;1;1316;Cap-Oil Filler;317-7388;Filler GP-Engine Oil;CCR DESARME;;;
281-0193;1;1316;Hose;317-7388;Filler GP-Engine Oil;CCR DESARME;;;
0S-1591;2;1316;Bolt;317-7388;Filler GP-Engine Oil;CCR DESARME;;;
5P-0597;2;1316;Clamp-Hose;317-7388;Filler GP-Engine Oil;CCR DESARME;;;
5P-8211;1;1316;Seal-O-Ring;317-7388;Filler GP-Engine Oil;CCR DESARME;;;
6V-0852;1;1306;Cap-Dust;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
8C-3445;1;1306;Cap-Dust;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
8N-6739;2;1306;Ring-Retaining;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
114-3824;1;1306;Gasket;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
2W-8225;2;1306;Stud-Taperlock;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
061-7540;1;1306;Seal-O-Ring;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
244-4484;2;1306;Filter-Engine Oil;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
6V-3830;2;1306;Seal-O-Ring;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
6V-4589;1;1306;Seal-O-Ring;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
6V-5048;2;1306;Seal-O-Ring;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
6V-5049;2;1306;Seal-O-Ring;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
8C-3446;1;1306;Valve-Sampling;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
8C-5230;1;1306;Seal-O-Ring;216-0819;Filter GP-Engine Oil;CCR DESARME;;;
3S-2093;15;1261;Strap-Cable;224-9846;Filter GP-Fuel;CCR DESARME;;;
155-0576;4;1261;Mount-Isolation;224-9846;Filter GP-Fuel;CCR DESARME;;;
165-5970;1;1261;Switch GP-Toggle;224-9846;Filter GP-Fuel;CCR TU&EL;;;
217-8339;1;1261;Pump GP-Fuel Priming;224-9846;Filter GP-Fuel;CCR DESARME;;;
258-0883;1;1261;Switch GP-Pressure;224-9846;Filter GP-Fuel;CCR TU&EL;;;
295-0175;1;1261;Harness AS-Sensor;224-9846;Filter GP-Fuel;CCR TU&EL;;;
228-7090;1;1261;Seal-O-Ring;224-9846;Filter GP-Fuel;CCR DESARME;;;
300-6714;6;1261;Mount;224-9846;Filter GP-Fuel;CCR DESARME;;;
1R-0755;2;1261;Filter-Fuel;224-9846;Filter GP-Fuel;CCR DESARME;;;
4P-7581;1;1261;Clip;224-9846;Filter GP-Fuel;CCR DESARME;;;
5M-2894;4;1261;Washer-Hard;224-9846;Filter GP-Fuel;CCR DESARME;;;
5P-8247;2;1261;Washer-Hard;224-9846;Filter GP-Fuel;CCR DESARME;;;
6V-0852;1;1261;Cap-Dust;224-9846;Filter GP-Fuel;CCR DESARME;;;
238-5081;3;1261;Seal-O-Ring;224-9846;Filter GP-Fuel;CCR DESARME;;;
214-7566;1;1261;Seal-O-Ring;224-9846;Filter GP-Fuel;CCR DESARME;;;
238-5080;9;1261;Seal-O-Ring;224-9846;Filter GP-Fuel;CCR DESARME;;;
423-8524;1;1261;Filter GP-Water Sep & Fuel;224-9846;Filter GP-Fuel;CCR DESARME;;;
264-4297;2;1906;Sensor AS-Temperature;197-8391;Sensor GP-Temperature;CCR TU&EL;;;
238-5080;1;1906;Seal-O-Ring;197-8391;Sensor GP-Temperature;CCR TU&EL;;;
194-6725;2;1718;Sensor GP-Pressure;239-2396;Sensor GP-Pressure;CCR TU&EL;;;
214-7566;2;1718;Seal-O-Ring;239-2396;Sensor GP-Pressure;CCR TU&EL;;;
165-6170;6;1326;Plug;216-0821;Gauge GP-Oil Level (Dipstick);CCR DESARME;;;
206-7044;1;1326;Gauge AS-Oil Level (Dipstick);216-0821;Gauge GP-Oil Level (Dipstick);CCR DESARME;;;
118-5068;1;1326;Seal-O-Ring;216-0821;Gauge GP-Oil Level (Dipstick);CCR DESARME;;;
4N-0848;1;1204;Sleeve-Wear;208-5481;Gear GP-Rear;CCR DESARME;;;
5P-1370;2;1204;Bearing AS-Roller;208-5481;Gear GP-Rear;CCR DESARME;;;
7N-8525;2;1204;Washer-Thrust;208-5481;Gear GP-Rear;CCR DESARME;;;
102-5861;2;1204;Plate-Thrust;208-5481;Gear GP-Rear;CCR DESARME;;;
224-9664;2;1204;Bushing;208-5481;Gear GP-Rear;CCR DESARME;;;
317-6539;1;1204;Seal-Lip Type;208-5481;Gear GP-Rear;CCR DESARME;;;
4N-0684;2;1204;Dowel;208-5481;Gear GP-Rear;CCR DESARME;;;
1B-8705;1;1204;Key-Woodruff;208-5481;Gear GP-Rear;CCR DESARME;;;
226-6052;1;1204;Bushing;208-5481;Gear GP-Rear;CCR DESARME;;;
7N-2910;1;1204;Bushing;208-5481;Gear GP-Rear;CCR DESARME;;;
247-3837;1;1204;Hose AS;208-5481;Gear GP-Rear;CCR DESARME;;;
209-8621;1;1204;Bearing;208-5481;Gear GP-Rear;CCR DESARME;;;
031-5085;6;1204;Bolt-Locking;208-5481;Gear GP-Rear;CCR DESARME;;;
117-8801;2;1204;Seal-O-Ring;208-5481;Gear GP-Rear;CCR DESARME;;;
214-7568;2;1204;Seal-O-Ring;208-5481;Gear GP-Rear;CCR DESARME;;;
5E-8771;2;1204;Seal-O-Ring;208-5481;Gear GP-Rear;CCR DESARME;;;
5M-2894;14;1204;Washer-Hard;208-5481;Gear GP-Rear;CCR DESARME;;;
5P-9299;2;1204;Clip;208-5481;Gear GP-Rear;CCR DESARME;;;
502-4034;1;1204;Seal-O-Ring;208-5481;Gear GP-Rear;CCR DESARME;;;
6V-4589;2;1204;Seal-O-Ring;208-5481;Gear GP-Rear;CCR DESARME;;;
297-7956;2;1204;Elbow;208-5481;Gear GP-Rear;CCR DESARME;;;
6V-5052;1;1204;Seal-O-Ring;208-5481;Gear GP-Rear;CCR DESARME;;;
6V-5141;2;1204;Seal-O-Ring;208-5481;Gear GP-Rear;CCR DESARME;;;
7N-3011;1;1157;Bushing;216-0822;Housing GP-Flywheel;CCR DESARME;;;
331-8552;1;1157;Gasket;216-0822;Housing GP-Flywheel;CCR DESARME;;;
5P-7814;1;1157;Seal-O-Ring;216-0822;Housing GP-Flywheel;CCR DESARME;;;
214-7568;5;1157;Seal-O-Ring;216-0822;Housing GP-Flywheel;CCR DESARME;;;
8S-9191;6;1157;Bolt;216-0822;Housing GP-Flywheel;CCR DESARME;;;
142-5868;1;1160;Seal-Crankshaft;319-0785;Seal GP-Crankshaft;CCR BLOCK;;;
226-5613;2;1071;Gasket;312-5583;Lines GP-Air;CCR DESARME;;;
136-7227;1;1071;Seal-O-Ring;312-5583;Lines GP-Air;CCR DESARME;;;
3J-1907;2;1071;Seal-O-Ring;312-5583;Lines GP-Air;CCR DESARME;;;
6L-3005;2;1071;Clamp-Band;312-5583;Lines GP-Air;CCR DESARME;;;
6V-5048;1;1071;Seal-O-Ring;312-5583;Lines GP-Air;CCR DESARME;;;
6V-6353;2;1071;Seal-O-Ring;312-5583;Lines GP-Air;CCR DESARME;;;
8L-2786;1;1071;Seal-O-Ring;312-5583;Lines GP-Air;CCR DESARME;;;
4N-0865;1;1307;Gasket;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
4N-0913;1;1307;Screen-Strainer;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
4N-0914;1;1307;Clip;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
8N-6739;1;1307;Ring-Retaining;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
9F-6304;2;1307;Spring;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
9M-0853;2;1307;Plunger-Valve;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
061-7540;2;1307;Seal-O-Ring;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
061-9457;2;1307;Seal-O-Ring;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
113-5304;3;1307;Seal-O-Ring;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
5P-8068;5;1307;Seal-O-Ring;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
5P-9890;2;1307;Seal-O-Ring;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
6V-3830;2;1307;Seal-O-Ring;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
8J-4351;1;1307;Seal-O-Ring;266-9446;Lines GP-Engine Oil;CCR DESARME;;;
7F-2050;1;1274;Locknut;256-3683;Lines GP-Fuel;CCR DESARME;;;
361-7208;1;1274;Hose AS;256-3683;Lines GP-Fuel;CCR DESARME;;;
361-7206;1;1274;Hose AS;256-3683;Lines GP-Fuel;CCR DESARME;;;
275-2426;1;1274;Hose AS;256-3683;Lines GP-Fuel;CCR DESARME;;;
322-7615;1;1274;Hose AS;256-3683;Lines GP-Fuel;CCR DESARME;;;
322-7616;2;1274;Hose AS;256-3683;Lines GP-Fuel;CCR DESARME;;;
322-7617;1;1274;Hose AS;256-3683;Lines GP-Fuel;CCR DESARME;;;
327-4448;1;1274;Valve GP-Check;256-3683;Lines GP-Fuel;CCR DESARME;;;
238-5080;2;1274;Seal-O-Ring;256-3683;Lines GP-Fuel;CCR DESARME;;;
214-7568;5;1274;Seal-O-Ring;256-3683;Lines GP-Fuel;CCR DESARME;;;
3G-8047;3;1274;Grommet;256-3683;Lines GP-Fuel;CCR DESARME;;;
353-7952;3;1274;Grommet;256-3683;Lines GP-Fuel;CCR DESARME;;;
238-5081;2;1274;Seal-O-Ring;256-3683;Lines GP-Fuel;CCR DESARME;;;
353-7954;7;1274;Grommet;256-3683;Lines GP-Fuel;CCR DESARME;;;
8S-9191;3;1274;Bolt;256-3683;Lines GP-Fuel;CCR DESARME;;;
108-1434;2;1261;Grommet;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
4P-0693;4;1261;Clamp AS;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
327-4448;1;1261;Valve GP-Check;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
238-5081;2;1261;Seal-O-Ring;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
391-8233;8;1261;Grommet;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
436-5801;1;1261;Hose & Tube AS;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
436-5802;1;1261;Hose & Tube AS;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
436-5803;1;1261;Hose AS;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
456-9156;1;1261;Hose & Tube AS;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
456-9157;1;1261;Hose & Tube AS;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
456-9158;1;1261;Hose & Tube AS;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
456-9159;1;1261;Hose & Tube AS;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
238-5080;3;1261;Seal-O-Ring;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
214-7568;3;1261;Seal-O-Ring;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
353-7952;4;1261;Grommet;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
7F-2050;1;1261;Locknut;393-0332;Lines GP-Fuel Filter;CCR DESARME;;;
7N-7559;2;1052;Gasket;272-3156;Lines GP-Turbocharger Oil;CCR DESARME;;;
7X-7958;4;1052;Clamp-Hose;272-3156;Lines GP-Turbocharger Oil;CCR DESARME;;;
447-7466;2;1052;Hose;272-3156;Lines GP-Turbocharger Oil;CCR DESARME;;;
238-5081;2;1052;Seal-O-Ring;272-3156;Lines GP-Turbocharger Oil;CCR DESARME;;;
6V-5050;2;1052;Seal-O-Ring;272-3156;Lines GP-Turbocharger Oil;CCR DESARME;;;
7N-8875;2;1052;Gasket;272-3156;Lines GP-Turbocharger Oil;CCR DESARME;;;
8L-2746;2;1052;Seal-O-Ring;272-3156;Lines GP-Turbocharger Oil;CCR DESARME;;;
343-8888;2;1380;Gasket;216-4579;Lines GP-Water;CCR DESARME;;;
4N-1946;1;1380;Gasket;216-4579;Lines GP-Water;CCR DESARME;;;
4N-2199;1;1380;Gasket;216-4579;Lines GP-Water;CCR DESARME;;;
0R-5513;1;1380;Core AS-Oclr;216-4579;Lines GP-Water;CCR DESARME;;;
10R-8650;1;1380;Core AS-Oclr;216-4579;Lines GP-Water;CCR DESARME;;;
214-7568;1;1380;Seal-O-Ring;216-4579;Lines GP-Water;CCR DESARME;;;
192-4309;1;1380;Seal-O-Ring;216-4579;Lines GP-Water;CCR DESARME;;;
236-5423;1;1380;Hose;216-4579;Lines GP-Water;CCR DESARME;;;
239-5571;1;1380;Seal-Integral;216-4579;Lines GP-Water;CCR DESARME;;;
109-0074;1;1380;Seal-O-Ring;216-4579;Lines GP-Water;CCR DESARME;;;
109-0077;2;1380;Seal-O-Ring;216-4579;Lines GP-Water;CCR DESARME;;;
215-4013;2;1380;Clamp;216-4579;Lines GP-Water;CCR DESARME;;;
0L-1143;2;1380;Bolt;216-4579;Lines GP-Water;CCR DESARME;;;
3K-0360;2;1380;Seal-O-Ring;216-4579;Lines GP-Water;CCR DESARME;;;
6V-5063;4;1380;Seal-O-Ring;216-4579;Lines GP-Water;CCR DESARME;;;
7C-0307;3;1380;Gasket;216-4579;Lines GP-Water;CCR DESARME;;;
7M-8485;2;1380;Seal-O-Ring;216-4579;Lines GP-Water;CCR DESARME;;;
8T-1703;1;1380;Seal-O-Ring;216-4579;Lines GP-Water;CCR DESARME;;;
9M-8546;2;1380;Gasket;216-4579;Lines GP-Water;CCR DESARME;;;
248-5513;2;1380;Regulator-Water Temperature;238-7590;Lines GP-Water;CCR DESARME;;;
231-4708;5;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
111-4374;1;1380;Valve AS;238-7590;Lines GP-Water;CCR DESARME;;;
3B-0622;1;1380;Plug-Cup;238-7590;Lines GP-Water;CCR DESARME;;;
3S-9643;2;1380;Seal-Lip Type;238-7590;Lines GP-Water;CCR DESARME;;;
107-5769;2;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
109-0076;3;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
6V-6609;1;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
6V-9027;1;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
8T-1703;3;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
7N-7628;8;1380;Gasket;272-2950;Lines GP-Water;CCR DESARME;;;
157-0670;1;1380;Cap-Dust;272-2950;Lines GP-Water;CCR DESARME;;;
346-5755;1;1380;Hose AS;272-2950;Lines GP-Water;CCR DESARME;;;
154-9023;1;1380;Valve-Sampling;272-2950;Lines GP-Water;CCR DESARME;;;
180-8424;6;1380;Seal-O-Ring;272-2950;Lines GP-Water;CCR DESARME;;;
1S-1015;2;1380;Clip;272-2950;Lines GP-Water;CCR DESARME;;;
3K-0360;3;1380;Seal-O-Ring;272-2950;Lines GP-Water;CCR DESARME;;;
6V-9027;1;1380;Seal-O-Ring;272-2950;Lines GP-Water;CCR DESARME;;;
5P-8134;12;1059;Cap-Protective;272-2953;Manifold GP-Exhaust;CCR DESARME;;;
8N-0879;8;1059;Clamp;272-2953;Manifold GP-Exhaust;CCR DESARME;;;
239-1388;12;1059;Gasket;272-2953;Manifold GP-Exhaust;CCR DESARME;;;
243-3565;8;1059;Seal-O-Ring;272-2953;Manifold GP-Exhaust;CCR DESARME;;;
243-3566;4;1059;Bellows AS;272-2953;Manifold GP-Exhaust;CCR DESARME;;;
2N-2766;24;1059;Locknut;272-2953;Manifold GP-Exhaust;CCR DESARME;;;
3K-3256;12;1059;Stud-Taperlock;272-2953;Manifold GP-Exhaust;CCR DESARME;;;
353-1648;1;1302;Gasket-Oil Pan;266-9450;Pan GP-Oil;CCR DESARME;;;
355-3257;1;1302;Gasket-Oil Pan;266-9450;Pan GP-Oil;CCR DESARME;;;
8N-0422;1;1302;Gasket;266-9450;Pan GP-Oil;CCR DESARME;;;
238-5084;1;1302;Seal-O-Ring;266-9450;Pan GP-Oil;CCR DESARME;;;
6V-3830;1;1302;Seal-O-Ring;266-9450;Pan GP-Oil;CCR DESARME;;;
238-5081;1;1302;Seal-O-Ring;266-9450;Pan GP-Oil;CCR DESARME;;;
6V-4589;1;1302;Seal-O-Ring;266-9450;Pan GP-Oil;CCR DESARME;;;
6V-4589;3;1201;Seal-O-Ring;227-9516;Plug GP-Cylinder Block;CCR BLOCK;;;
214-7566;1;1201;Seal-O-Ring;351-2234;Plug GP-Cylinder Block;CCR BLOCK;;;
3B-0645;4;1100;Plug-Cup;223-6407;Plug GP-Cylinder Head;CCR DESARME;;;
6V-6609;1;1100;Seal-O-Ring;279-6020;Plug GP-Cylinder Head;CCR DESARME;;;
6V-6609;1;1100;Seal-O-Ring;279-6022;Plug GP-Cylinder Head;CCR DESARME;;;
20R-0967;1;1256;Pump GP-F Xfr;223-6421;Pump & Mtg GP-Fuel Transfer;CCR DESARME;;;
8C-3089;1;1256;Seal-O-Ring;223-6421;Pump & Mtg GP-Fuel Transfer;CCR DESARME;;;
9X-7371;1;1361;Seal-O-Ring;230-4172;Pump GP-Water;CCR BBA;;;
108-7930;1;1361;Bearing AS-Roller;352-0202;Pump GP-Water;CCR BBA;;;
349-2654;1;1361;Seal-Water Pump;352-0202;Pump GP-Water;CCR BBA;;;
153-1256;1;1361;Seal-Lip Type;352-0202;Pump GP-Water;CCR BBA;;;
4M-1336;1;1361;Ferrule;352-0202;Pump GP-Water;CCR BBA;;;
111-2721;1;1361;Plug-Felt;352-0202;Pump GP-Water;CCR BBA;;;
0S-1591;1;1361;Bolt;352-0202;Pump GP-Water;CCR BBA;;;
125-5835;1;1718;Plug-Felt;235-8210;Sensor GP-Engine;CCR TU&EL;;;
132-3144;1;1718;Harness AS-Wiring;235-8210;Sensor GP-Engine;CCR TU&EL;;;
132-5789;1;1718;Clip;235-8210;Sensor GP-Engine;CCR TU&EL;;;
136-7227;1;1718;Seal-O-Ring;235-8210;Sensor GP-Engine;CCR TU&EL;;;
2M-9780;1;1718;Seal-O-Ring;235-8210;Sensor GP-Engine;CCR TU&EL;;;
6V-8397;2;1718;Seal-O-Ring;235-8210;Sensor GP-Engine;CCR TU&EL;;;
6V-3265;1;1718;Clip;235-8210;Sensor GP-Engine;CCR TU&EL;;;
6V-5048;2;1718;Seal-O-Ring;235-8210;Sensor GP-Engine;CCR TU&EL;;;
214-7568;1;1718;Seal-O-Ring;235-8210;Sensor GP-Engine;CCR TU&EL;;;
3S-2093;10;1718;Strap-Cable;235-8210;Sensor GP-Engine;CCR TU&EL;;;
264-4297;1;1906;Sensor AS-Temperature;197-8392;Sensor GP-Temperature;CCR TU&EL;;;
201-6615;1;1907;Sensor GP-Speed;230-7149;Sensor GP-Speed;CCR TU&EL;;;
228-4947;1;1907;Seal-O-Ring;230-7149;Sensor GP-Speed;CCR TU&EL;;;
194-6722;1;1718;Sensor GP-Pressure;239-2395;Sensor GP-Pressure;CCR TU&EL;;;
214-7568;1;1718;Seal-O-Ring;239-2395;Sensor GP-Pressure;CCR TU&EL;;;
228-4947;1;1907;Seal-O-Ring;239-2397;Sensor GP-Speed;CCR TU&EL;;;
201-6616;1;1907;Sensor GP-Speed;239-2397;Sensor GP-Speed;CCR TU&EL;;;
194-6724;2;1718;Sensor GP-Pressure;240-2035;Sensor GP-Pressure;CCR TU&EL;;;
6V-5048;2;1718;Seal-O-Ring;240-2035;Sensor GP-Pressure;CCR TU&EL;;;
171-8708;1;1438;Switch GP-Flow;100-4417;Switch GP-Flow;CCR TU&EL;;;
4N-3841;1;1438;Gasket;100-4417;Switch GP-Flow;CCR TU&EL;;;
343-4835;1;1153;Mount AS;179-7086;Trunnion GP-Engine;CCR DESARME;;;
3S-2093;29;1408;Strap-Cable;248-6886;Wiring GP-Electronic Control;CCR TU&EL;;;
7K-1181;10;1408;Strap-Cable;248-6886;Wiring GP-Electronic Control;CCR TU&EL;;;
296-7520;1;1408;Harness AS-Sensor;248-6886;Wiring GP-Electronic Control;CCR TU&EL;;;
132-5789;6;1408;Clip;248-6886;Wiring GP-Electronic Control;CCR TU&EL;;;
