Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;T4Y_3597672;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
155-2793;12;;1201;Seal-Liner;348-9906;Cylinder Block AS;CCR P&B
155-0810;12;;1201;Seal-Liner;348-9906;Cylinder Block AS;CCR P&B
155-0809;12;;1201;Seal-Liner;348-9906;Cylinder Block AS;CCR P&B
9L-5854;12;;1201;Band-Filler;348-9906;Cylinder Block AS;CCR P&B
225-5966;1;;1201;Sleeve;348-9904;Cylinder Block AS;CCR DESARME
6V-6609;2;;1201;Seal-O-Ring;348-9904;Cylinder Block AS;CCR DESARME
4N-0685;1;;1201;Bushing;348-9904;Cylinder Block AS;CCR DESARME
4N-6658;1;;1201;Bushing;348-9904;Cylinder Block AS;CCR DESARME
365-4307;14;;1201;BOLT-12 Point Head;348-9904;Cylinder Block AS;CCR BLOCK
225-3099;2;;1100;Gasket-Cylinder Head;545-6094;Cylinder Head GP;CCR DESARME
6V-6609;4;;1100;Seal-O-Ring;545-6094;Cylinder Head GP;CCR DESARME
359-1439;48;;1100;Seal AS-Water;545-6094;Cylinder Head GP;CCR DESARME
445-8643;1;;1100;Panel;545-6094;Cylinder Head GP;CCR DESARME
3G-2292;5;;1151;Bolt-Locking;355-2286;Gear GP-Front;CCR DESARME
7N-2443;1;;1151;Washer-Thrust;355-2286;Gear GP-Front;CCR DESARME
112-9217;1;;1151;Plate-Thrust;355-2286;Gear GP-Front;CCR DESARME
131-7123;1;;1151;Bushing;355-2286;Gear GP-Front;CCR DESARME
031-5085;6;;1151;Bolt-Locking;355-2286;Gear GP-Front;CCR DESARME
117-8801;2;;1151;Seal-O-Ring;355-2286;Gear GP-Front;CCR DESARME
1B-8705;1;;1151;Key-Woodruff;355-2286;Gear GP-Front;CCR BBA
5E-8771;2;;1151;Seal-O-Ring;355-2286;Gear GP-Front;CCR DESARME
214-1727;1;;1151;Gasket;350-8748;Housing GP-Front;CCR DESARME
3K-3256;2;;1151;Stud-Taperlock;350-8748;Housing GP-Front;CCR DESARME
161-7293;1;;1166;Gasket-Cylinder;350-8861;Housing GP-Rear;CCR DESARME
316-9154;1;;1166;Hose AS;350-8861;Housing GP-Rear;CCR DESARME
061-8639;1;;1166;Seal-O-Ring;350-8861;Housing GP-Rear;CCR DESARME
6V-5048;3;;1166;Seal-O-Ring;350-8861;Housing GP-Rear;CCR DESARME
4C-9612;4;;1166;Sealant-Silicone;350-8861;Housing GP-Rear;CCR DESARME
7N-2156;2;;1304;Bushing;379-3989;Pump GP-Engine Oil;CCR BBA
8S-6511;2;;1304;Bushing;379-3989;Pump GP-Engine Oil;CCR BBA
7C-1511;1;;1304;Ring-Plunger;379-3989;Pump GP-Engine Oil;CCR BBA
236-6733;1;;1304;Spring;379-3989;Pump GP-Engine Oil;CCR BBA
8S-9191;12;;1251;Bolt;235-1401;Pump GP-Fuel Injection;CCR BBA
20R-2284;12;;1251;Injector GP-Fuel;235-1401;Pump GP-Fuel Injection;CCR DESARME
6V-4589;1;;1439;Seal-O-Ring;301-4108;Adapter GP-Sensor;CCR TU&EL
3S-2093;1;;1439;Strap-Cable;347-7065;Sensor GP-Engine;CCR TU&EL
125-5835;1;;1439;Plug-Felt;347-7065;Sensor GP-Engine;CCR TU&EL
214-7568;1;;1439;Seal-O-Ring;347-7065;Sensor GP-Engine;CCR TU&EL
228-7101;2;;1439;Seal-O-Ring;347-7065;Sensor GP-Engine;CCR TU&EL
8L-2786;2;;1439;Seal-O-Ring;347-7065;Sensor GP-Engine;CCR TU&EL
256-6453;1;;1408;Sensor-Temperature;234-5012;Sensor GP-Temperature;CCR TU&EL
6V-6609;1;;1408;Seal-O-Ring;234-5012;Sensor GP-Temperature;CCR TU&EL
274-6719;1;;1408;Sensor GP-Pressure;276-9067;Sensor GP-Pressure;CCR TU&EL
214-7566;1;;1408;Seal-O-Ring;276-9067;Sensor GP-Pressure;CCR TU&EL
228-4947;1;;1907;Seal-O-Ring;300-9805;Sensor GP-Speed;CCR TU&EL
279-9828;1;;1907;Sensor GP-Speed;300-9805;Sensor GP-Speed;CCR TU&EL
228-4947;1;;1907;Seal-O-Ring;300-9806;Sensor GP-Speed;CCR TU&EL
279-9829;1;;1907;Sensor GP-Speed;300-9806;Sensor GP-Speed;CCR TU&EL
320-3063;1;;1408;Sensor GP-Pressure;331-1134;Sensor GP-Pressure;CCR TU&EL
228-7100;1;;1408;Seal-O-Ring;331-1134;Sensor GP-Pressure;CCR TU&EL
320-3061;2;;1408;Sensor GP-Pressure;332-0296;Sensor GP-Pressure;CCR TU&EL
228-7101;2;;1408;Seal-O-Ring;332-0296;Sensor GP-Pressure;CCR TU&EL
7K-1181;2;;1439;Strap-Cable;583-0124;Sensor GP-Engine;CCR TU&EL
216-8579;2;;1439;Seal-O-Ring;583-0124;Sensor GP-Engine;CCR TU&EL
416-6999;2;;1439;Sensor GP-Pressure;583-0124;Sensor GP-Engine;CCR TU&EL
4P-7581;1;;1439;Clip;583-0124;Sensor GP-Engine;CCR TU&EL
6V-5063;1;;1439;Seal-O-Ring;583-0124;Sensor GP-Engine;CCR TU&EL
6V-9027;1;;1439;Seal-O-Ring;583-0124;Sensor GP-Engine;CCR TU&EL
165-6170;3;;1326;Plug;253-3534;Gauge GP-Oil Level (Dipstick);CCR DESARME
033-6033;1;;1326;Seal-O-Ring;253-3534;Gauge GP-Oil Level (Dipstick);CCR DESARME
061-8639;1;;1326;Seal-O-Ring;253-3534;Gauge GP-Oil Level (Dipstick);CCR DESARME
118-5068;1;;1326;Seal-O-Ring;393-1947;Gauge GP-Oil Level (Dipstick);CCR DESARME
228-7090;1;;1326;Seal-O-Ring;393-1947;Gauge GP-Oil Level (Dipstick);CCR DESARME
4N-0848;1;;1204;Sleeve-Wear;342-2402;Gear GP-Rear;CCR DESARME
5F-7403;2;;1204;Lockwasher;342-2402;Gear GP-Rear;CCR DESARME
5F-7404;2;;1204;Locknut-Bearing;342-2402;Gear GP-Rear;CCR DESARME
5P-1370;2;;1204;Bearing AS-Roller;342-2402;Gear GP-Rear;CCR DESARME
102-5861;2;;1204;Plate-Thrust;342-2402;Gear GP-Rear;CCR DESARME
224-9664;2;;1204;Bushing;342-2402;Gear GP-Rear;CCR DESARME
226-6052;1;;1204;Bushing;342-2402;Gear GP-Rear;CCR DESARME
209-8621;1;;1204;Bearing;342-2402;Gear GP-Rear;CCR DESARME
