Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;r120ceRAB;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
3S-2093;1;;1907;STRAP-CABLE;347-7065;SENSOR GP-ENGINE;CCR TU&EL
125-5835;1;;1907;PLUG-FELT;347-7065;SENSOR GP-ENGINE;CCR TU&EL
214-7568;1;;1907;SEAL-O-RING;347-7065;SENSOR GP-ENGINE;CCR TU&EL
234-5012;1;;1907;SENSOR GP-TEMPERATURE (WATER, COOLANT TEMPERATURE);347-7065;SENSOR GP-ENGINE;CCR TU&EL
276-9067;1;;1907;SENSOR GP-PRESSURE (ENGINE OIL)(ENGINE OIL);347-7065;SENSOR GP-ENGINE;CCR TU&EL
300-9805;1;;1907;SENSOR GP-SPEED (PRIMARY, TIMING);347-7065;SENSOR GP-ENGINE;CCR TU&EL
300-9806;1;;1907;SENSOR GP-SPEED (SECONDARY, TIMING);347-7065;SENSOR GP-ENGINE;CCR TU&EL
331-1134;1;;1907;SENSOR GP-PRESSURE (ATMOSPHERIC);347-7065;SENSOR GP-ENGINE;CCR TU&EL
332-0296;2;;1907;SENSOR GP-PRESSURE (LH);347-7065;SENSOR GP-ENGINE;CCR TU&EL
228-7101;2;;1907;SEAL-O-RING;347-7065;SENSOR GP-ENGINE;CCR TU&EL
8L-2786;2;;1907;SEAL-O-RING;347-7065;SENSOR GP-ENGINE;CCR TU&EL
