Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;3TZ;100-8094;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
6V-1574;2;;1307;GROMMET;381-8703;LINES GP-ENGINE OIL;CCR DESAR
6V-4368;4;;1307;SEAL-O-RING;381-8703;LINES GP-ENGINE OIL;CCR DESAR
6V-4589;1;;1307;SEAL-O-RING;381-8703;LINES GP-ENGINE OIL;CCR DESAR
237-7623;2;;1312;SEAL-O-RING;397-9156;PUMP GP-SCAVENGE -FRONT SUMP;CCR DESAR
5P-4868;1;;1317;CLAMP-HOSE;444-0824;BREATHER GP -CRANKCASE;CCR DESAR
0L-1143;11;;1052;BOLT (3/8-16X2.5-IN);452-7933;LINES GP-TURBOCHARGER OIL;CCR DESAR
100-3237;2;;1052;GROMMET;452-7933;LINES GP-TURBOCHARGER OIL;CCR DESAR
108-1434;1;;1052;GROMMET;452-7933;LINES GP-TURBOCHARGER OIL;CCR DESAR
2W-0752;4;;1052;GASKET;452-7933;LINES GP-TURBOCHARGER OIL;CCR DESAR
9L-9132;8;;1052;WASHER-HARD (10.2X25.5X2.5-MM THK);452-7933;LINES GP-TURBOCHARGER OIL;CCR DESAR
9N-0869;1;;1052;WASHER-HARD (8.8X25.5X2-MM THK);452-7933;LINES GP-TURBOCHARGER OIL;CCR DESAR
1U-5573;2;;;Aditivo Dinamometro;;;CCR DESAR
0L-1143;2;;1802;BOLT (3/8-16X2.5-IN);123-6863;COMPRESSOR & MTG GP-REFRIG;CCR DISTRI
4P-8134;1;;1802;CLIP (LADDER);123-6863;COMPRESSOR & MTG GP-REFRIG;CCR DISTRI
103-0881;2;;1802;CAP-DUST (20.4MM THK);123-6863;COMPRESSOR & MTG GP-REFRIG;CCR DISTRI
103-0882;2;;1802;CAP-DUST (11MM THK);123-6863;COMPRESSOR & MTG GP-REFRIG;CCR DISTRI
103-0885;2;;1802;BOLT-SPECIAL;123-6863;COMPRESSOR & MTG GP-REFRIG;CCR DISTRI
105-7535;2;;1802;BEARING AS-BALL (15-MM ID);123-6863;COMPRESSOR & MTG GP-REFRIG;CCR DISTRI
117-0030;1;;1802;V-BELT;123-6863;COMPRESSOR & MTG GP-REFRIG;CCR DISTRI
2R-1230;4;;1802;RING-RETAINING;123-6863;COMPRESSOR & MTG GP-REFRIG;CCR DISTRI
9X-4610;2;;1802;SEAL-V-RING;123-6863;COMPRESSOR & MTG GP-REFRIG;CCR DISTRI
0S-1591;4;;1000;BOLT (3/8-16X1.5-IN);143-5128;COVER GP-ENGINE -REAR;CCR DISTRI
1W-4954;1;;1000;GASKET-COVER;143-5128;COVER GP-ENGINE -REAR;CCR DISTRI
234-8937;1;;1000;SEAL-INTEGRAL;143-5128;COVER GP-ENGINE -REAR;CCR DISTRI
2J-6274;1;;1000;SEAL-O-RING;143-5128;COVER GP-ENGINE -REAR;CCR DISTRI
3D-0490;4;;1000;STUD-TAPERLOCK (1/2-13X1.97-IN);143-5128;COVER GP-ENGINE -REAR;CCR DISTRI
3F-5792;1;;1000;SEAL-O-RING;143-5128;COVER GP-ENGINE -REAR;CCR DISTRI
4B-8407;3;;1000;GASKET-COPPER;143-5128;COVER GP-ENGINE -REAR;CCR DISTRI
7N-4320;2;;1000;GASKET;143-5128;COVER GP-ENGINE -REAR;CCR DISTRI
9L-2662;1;;1000;GASKET;143-5128;COVER GP-ENGINE -REAR;CCR DISTRI
259-4598;1;;1157;SEAL-O-RING;167-9574;HOUSING GP-FLYWHEEL;CCR DISTRI
5P-8245;19;;1157;WASHER-HARD (13.5X25.5X3-MM THK);167-9574;HOUSING GP-FLYWHEEL;CCR DISTRI
1V-6341;2;;1157;SEAL;167-9574;HOUSING GP-FLYWHEEL;CCR DISTRI
