Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;r120ca3BRC;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
3P-6061;1;;1371;GASKET;1W-0410;PUMP GP-AUXILIARY WATER;CCR BBA
5N-1940;1;;1371;GASKET;1W-0410;PUMP GP-AUXILIARY WATER;CCR BBA
235-3546;1;;1371;SEAL-O-RING;1W-0410;PUMP GP-AUXILIARY WATER;CCR BBA
6V-3348;1;;1371;SEAL-O-RING;1W-0410;PUMP GP-AUXILIARY WATER;CCR BBA
6V-3908;1;;1307;SEAL-O-RING;2W-0207;LINES GP-ENGINE OIL;CCR BBA
149-5462;1;;1361;SEAL-O-RING;2W-9729;PUMP GP-WATER;CCR BBA
5H-6734;1;;1361;SEAL-O-RING;2W-9729;PUMP GP-WATER;CCR BBA
127-5400;1;;1371;BUSHING;540-4708;PUMP GP-AUXILIARY WATER;CCR BBA
9X-4594;1;;1371;SEAL-LIP TYPE;540-4708;PUMP GP-AUXILIARY WATER;CCR BBA
3J-1907;1;;1371;SEAL-O-RING;540-4708;PUMP GP-AUXILIARY WATER;CCR BBA
349-2654;1;;1371;SEAL-WATER PUMP;540-4708;PUMP GP-AUXILIARY WATER;CCR BBA
1H-9696;1;;1256;SEAL-O-RING;8N-6151;PUMP GP-FUEL TRANSFER -1-SECTION GEAR;CCR BBA
298-6387;1;;1304;SEAL-O-RING;8N-6152;PUMP GP-ENGINE OIL -2-SECTION GEAR;CCR BBA
7N-3218;2;;1210;WASHER-THRUST;106-4586;CAMSHAFT GP;CCR BLK
7N-4945;3;;1201;GASKET;121-3555;COVER GP-CYLINDER BLOCK;CCR BLK
272-0758;12;;1201;SEAL;121-3555;COVER GP-CYLINDER BLOCK;CCR BLK
272-0759;12;;1201;SEAL;121-3555;COVER GP-CYLINDER BLOCK;CCR BLK
7N-3368;1;;1393;GASKET;191-8413;LINES GP-WATER -UPPER;CCR BLK
230-1072;2;;1393;GASKET;191-8414;LINES GP-WATER -AFTERCOOLER;CCR BLK
101-1198;14;;1201;BEARING-CAMSHAFT;240-6651;CYLINDER BLOCK GP;CCR BLK
214-7568;6;;1201;SEAL-O-RING;240-6651;CYLINDER BLOCK GP;CCR BLK
5F-9657;4;;1201;SEAL-O-RING;240-6651;CYLINDER BLOCK GP;CCR BLK
5P-8210;2;;1201;SEAL-O-RING;240-6651;CYLINDER BLOCK GP;CCR BLK
6V-3348;8;;1201;SEAL-O-RING;240-6651;CYLINDER BLOCK GP;CCR BLK
7X-4805;3;;1201;SEAL-O-RING;240-6651;CYLINDER BLOCK GP;CCR BLK
6B-9202;2;;1307;SPRING;2W-0207;LINES GP-ENGINE OIL;CCR BLK
8T-2928;3;;1201;SEAL-O-RING;525-1801;CYLINDER BLOCK AS;CCR BLK
8T-2929;3;;1201;SEAL-O-RING;525-1801;CYLINDER BLOCK AS;CCR BLK
569-7728;1;;1160;SEAL (CLOCKWISE ROTATION);7W-3813;SEAL GP-CRANKSHAFT;CCR BLK
569-7729;1;;1160;SEAL (COUNTERCLOCKWISE ROTATION);7W-3813;SEAL GP-CRANKSHAFT;CCR BLK
7C-6209;2;;1202;PLATE-THRUST;8N-7103;CRANKSHAFT GP;CCR BLK
3P-0657;2;;1312;SEAL-O-RING;8N-7805;PUMP GP-SCAVENGE -FRONT SUMP;CCR BLK
