Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;4AR 0R9558;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
288-6174;1;;7150;GUARD AS-ALTERNATOR;4P-3747;;CCR DISTRI
9L-9132;1;;7150;WASHER-HARD (10.2X25.5X2.5-MM THK);4P-3747;;CCR DISTRI
119-9443;2;;7150;SEAL-O-RING;4P-3747;;CCR DISTRI
5M-2894;23;;1261;WASHER-HARD (10.2X18.5X2.5-MM THK);6I-4469;;CCR EN&CA
1R-0755;2;;1261;FILTER-FUEL (ADVANCED EFFICIENCY);6I-4469;;CCR EN&CA
8N-3653;1;;1261;STUD-TAPERLOCK;6I-4469;;CCR EN&CA
3K-0360;1;;1261;SEAL-O-RING;6I-4469;;CCR EN&CA
2K-8198;4;;1261;SEAL-O-RING;6I-4469;;CCR EN&CA
0S-1591;2;;1261;BOLT (3/8-16X1.5-IN);6I-4469;;CCR EN&CA
7E-6713;1;;1383;HEATER GP-JACKET WATER;7E-6713;;CCR BLK
9X-1292;4;;1383;ELEMENT AS-JACKET WATER HEATER;7E-6713;;CCR BLK
6V-5050;1;;1383;SEAL-O-RING;7E-6713;;CCR BLK
6N-1604;4;;1383;CAP AS-DUST;7E-6713;;CCR BLK
7N-4927;1;;1393;GASKET-HOUSING COVER;9Y-8904;;CCR EN&CA
6I-4950;4;;1393;REGULATOR-WATER TEMPERATURE (92-DEG C);9Y-8904;;CCR EN&CA
3S-9643;4;;1393;SEAL-LIP TYPE (WATER TEMPERATURE REGULATOR);9Y-8904;;CCR EN&CA
111-4374;1;;1393;VALVE AS;9Y-8904;;CCR EN&CA
3K-0360;2;;1393;SEAL-O-RING;9Y-8904;;CCR EN&CA
9M-2151;3;;1361;STUD-TAPERLOCK (3/8-16X1.378-IN);9Y-8909;;CCR BBA
149-5462;1;;1361;SEAL-O-RING;9Y-8909;;CCR BBA
5H-6734;1;;1361;SEAL-O-RING;9Y-8909;;CCR BBA
2N-0931;1;;1380;GASKET;9Y-8928;;CCR EN&CA
4W-3100;1;;1380;GASKET;9Y-8928;;CCR EN&CA
103-0892;1;;1380;GROMMET;9Y-8928;;CCR DESAR
5M-2894;15;;1380;WASHER-HARD (10.2X18.5X2.5-MM THK);9Y-8928;;CCR EN&CA
6V-5066;2;;1380;SEAL-O-RING;9Y-8928;;CCR DESAR
6V-6809;1;;1380;SEAL-O-RING;9Y-8928;;CCR DESAR
9L-9132;2;;1380;WASHER-HARD (10.2X25.5X2.5-MM THK);9Y-8928;;CCR DESAR
110-0096;2;;1380;RING;9Y-8928;;CCR DESAR
5M-2894;78;;1408;WASHER-HARD (10.2X18.5X2.5-MM THK);101-1214;;CCR TU&EL
4P-7581;46;;1408;CLIP (LADDER);101-1214;;CCR TU&EL
9X-6772;202;;1408;STRAP-CABLE;101-1214;;CCR TU&EL
4P-7428;4;;1408;CLIP (LADDER);101-1214;;CCR TU&EL
7E-6016;2;;1408;GASKET;101-1214;;CCR TU&EL
6V-5048;20;;1408;SEAL-O-RING;101-1214;;CCR TU&EL
6V-5049;2;;1408;SEAL-O-RING;101-1214;;CCR TU&EL
9M-1974;8;;1408;WASHER-HARD (8.8X16X2-MM THK);101-1214;;CCR TU&EL
4P-8134;116;;1408;CLIP (LADDER);101-1214;;CCR TU&EL
2V-3216;2;;1408;CLIP (LOOP);101-1214;;CCR TU&EL
161-9926;4;;1408;SENSOR GP-PRESSURE (ATMOSPHERIC AIR);101-1214;;CCR TU&EL
3K-6905;2;;1408;VALVE-BREATHER;101-1214;;CCR TU&EL
273-5041;2;;1408;SENSOR GP-SPEED (ENGINE SPEED/TIMING);101-1214;;CCR TU&EL
4B-4281;2;;1408;WASHER (16.8X33X2.5-MM THK);101-1214;;CCR TU&EL
189-5746;2;;1408;SENSOR GP-SPEED (MAGNETIC PICKUP);101-1214;;CCR TU&EL
153-7485;2;;1408;WIRE AS-GROUND;101-1214;;CCR TU&EL
171-8708;2;;1408;SWITCH GP-FLOW (COOLANT);101-1214;;CCR TU&EL
4N-3841;2;;1408;GASKET;101-1214;;CCR TU&EL
194-6724;2;;1408;SENSOR GP-PRESSURE (TURBOCHARGER OUTLET);101-1214;;CCR TU&EL
118-7226;2;;1408;SENSOR GP-TEMPERATURE (AFTERCOOLER/VIMS);101-1214;;CCR TU&EL
3J-1907;2;;1408;SEAL-O-RING;101-1214;;CCR TU&EL
3K-0360;4;;1408;SEAL-O-RING;101-1214;;CCR TU&EL
102-2240;4;;1408;SENSOR GP-TEMPERATURE (3-PIN)(COOLANT);101-1214;;CCR TU&EL
107-8735;2;;1408;HOSE AS;101-1214;;CCR TU&EL
255-2282;2;;1408;SWITCH AS-PRESSURE (FUEL FILTER, DIFFERENTIA;101-1214;;CCR TU&EL
2M-9780;4;;1408;SEAL-O-RING;101-1214;;CCR TU&EL
7J-9108;2;;1408;SEAL-O-RING;101-1214;;CCR TU&EL
102-8802;2;;1408;KIT-RECEPTACLE (2-PIN);101-1214;;CCR TU&EL
194-6725;4;;1408;SENSOR GP-PRESSURE (UNFILTERED OIL);101-1214;;CCR TU&EL
172-8660;2;;1408;SWITCH GP-LIQUID LEVEL (LOW OIL);101-1214;;CCR TU&EL
0S-1591;4;;1408;BOLT (3/8-16X1.5-IN);101-1214;;CCR TU&EL
153-7490;2;;1408;HARNESS AS-ENGINE;101-1214;;CCR TU&EL
5P-8245;2;;1408;WASHER-HARD (13.5X25.5X3-MM THK);101-1214;;CCR TU&EL
4P-7429;2;;1408;CLIP;101-1214;;CCR TU&EL
6V-3265;2;;1408;CLIP;101-1214;;CCR TU&EL
9X-1813;1;;1408;SLEEVE (14-CM);101-1214;;CCR TU&EL
8T-9655;8;;1901;MOUNT-ISOLATION;107-9513;;CCR TU&EL
9M-1974;1;;1901;WASHER-HARD (8.8X16X2-MM THK);107-9513;;CCR TU&EL
9N-0869;4;;1901;WASHER-HARD (8.8X25.5X2-MM THK);107-9513;;CCR TU&EL
8N-9885;1;;1901;GASKET-COVER;107-9513;;CCR DISTR
5M-2894;7;;1901;WASHER-HARD (10.2X18.5X2.5-MM THK);107-9513;;CCR TU&EL
6B-8865;1;;1359;KEY-WOODRUFF;112-5997;;CCR DISTRI
108-1434;3;;1252;GROMMET;117-0077;;CCR DESAR
4P-0693;8;;1252;CLAMP AS;117-0077;;CCR DESAR
492-6560;1;;1252;HOSE AS;117-0077;;CCR DESAR
9N-4053;1;;1252;SPRING;117-0077;;CCR DESAR
492-6561;1;;1252;HOSE AS;117-0077;;CCR DESAR
238-5080;3;;1252;SEAL-O-RING;117-0077;;CCR DESAR
238-5081;3;;1252;SEAL-O-RING;117-0077;;CCR DESAR
353-7952;2;;1252;GROMMET;117-0077;;CCR DESAR
5M-2894;6;;1252;WASHER-HARD (10.2X18.5X2.5-MM THK);117-0077;;CCR DESAR
214-7568;33;;1252;SEAL-O-RING;117-0077;;CCR DESAR
214-7566;1;;1252;SEAL-O-RING;117-0077;;CCR DESAR
7N-6806;4;;1252;SEAL-RECTANGULAR;117-0077;;CCR DESAR
9M-1974;3;;1252;WASHER-HARD (8.8X16X2-MM THK);117-0077;;CCR DESAR
133-5946;1;;7513;CAP AS-ENGINE OIL FILLER;119-6363;;CCR EN&CA
198-2970;1;;7513;LOCKNUT (3/8-16-THD);119-6363;;CCR EN&CA
5M-2894;2;;7513;WASHER-HARD (10.2X18.5X2.5-MM THK);119-6363;;CCR EN&CA
6V-4314;1;;7513;SEAL-O-RING;119-6363;;CCR EN&CA
8T-4896;3;;7513;WASHER-HARD (10.2X18.5X2.5-MM THK);119-6363;;CCR EN&CA
1V-6341;2;;1207;SEAL;121-5710;;CCR DISTRI
2K-7471;1;;1207;LOCKNUT (1-14-THD);121-5710;;CCR DISTRI
5R-7137;4;;1207;WASHER-SEALING;121-5710;;CCR DISTRI
7N-3006;2;;1207;WASHER-THRUST;121-5710;;CCR DISTRI
7N-8525;1;;1207;WASHER-THRUST;121-5710;;CCR DISTRI
109-5721;1;;1207;SEAL (DIRT);121-5710;;CCR DISTRI
109-5722;1;;1207;SEAL-LIP TYPE;121-5710;;CCR DISTRI
102-6299;1;;1207;BUSHING;121-5710;;CCR DISTRI
109-5724;1;;1207;SEAL AS (LIP TYPE);121-5710;;CCR DISTRI
137-8298;1;;1207;BUSHING;121-5710;;CCR DISTRI
235-3548;1;;1207;SEAL-O-RING;121-5710;;CCR DISTRI
137-8299;1;;1207;BUSHING;121-5710;;CCR DISTRI
282-9627;1;;1207;HOSE AS;121-5710;;CCR DISTRI
283-0746;1;;1207;WASHER-THRUST (65X94.75X4.695-MM THK);121-5710;;CCR DISTRI
3D-0490;4;;1207;STUD-TAPERLOCK (1/2-13X1.97-IN);121-5710;;CCR DISTRI
3F-5792;1;;1207;SEAL-O-RING;121-5710;;CCR DISTRI
3S-8665;2;;1207;CLIP (LOOP);121-5710;;CCR DISTRI
5M-2894;2;;1207;WASHER-HARD (10.2X18.5X2.5-MM THK);121-5710;;CCR DISTRI
5P-8245;9;;1207;WASHER-HARD (13.5X25.5X3-MM THK);121-5710;;CCR DISTRI
5P-8247;3;;1207;WASHER-HARD (17X32X3.5-MM THK);121-5710;;CCR DISTRI
6V-5049;1;;1207;SEAL-O-RING;121-5710;;CCR DISTRI
0L-1143;1;;1380;BOLT (3/8-16X2.5-IN);121-5740;;CCR DESAR
1S-0994;1;;1380;CLIP (LOOP);121-5740;;CCR DESAR
4N-1320;1;;1380;GASKET (ADAPTER);121-5740;;CCR DESAR
7N-4932;2;;1380;GASKET;121-5740;;CCR DESAR
7N-4945;1;;1380;GASKET;121-5740;;CCR DESAR
8N-3639;2;;1380;RETAINER;121-5740;;CCR DESAR
8N-3640;1;;1380;RING-RETAINING;121-5740;;CCR DESAR
9X-6772;1;;1380;STRAP-CABLE;121-5740;;CCR DESAR
005-7889;2;;1380;VALVE AS-DRAIN (WATER LINES)(LOWER);121-5740;;CCR DESAR
152-1009;1;;1380;HOSE AS;121-5740;;CCR DESAR
169-9511;1;;1380;HOSE AS;121-5740;;CCR DESAR
163-2624;1;;1380;HOSE AS;121-5740;;CCR DESAR
103-0892;3;;1380;GROMMET;121-5740;;CCR DESAR
121-5746;2;;1380;GASKET;121-5740;;CCR EN&CA
3E-6735;1;;1380;SEAL-O-RING;121-5740;;CCR DESAR
3J-1907;1;;1380;SEAL-O-RING;121-5740;;CCR DESAR
3K-0360;2;;1380;SEAL-O-RING;121-5740;;CCR EN&CA
4S-1936;1;;1380;CLIP;121-5740;;CCR DESAR
5M-2894;15;;1380;WASHER-HARD (10.2X18.5X2.5-MM THK);121-5740;;CCR DESAR
5P-8245;5;;1380;WASHER-HARD (13.5X25.5X3-MM THK);121-5740;;CCR EN&CA
6V-5066;7;;1380;SEAL-O-RING;121-5740;;CCR DESAR
6V-6609;3;;1380;SEAL-O-RING;121-5740;;CCR EN&CA
6V-8397;2;;1380;SEAL-O-RING;121-5740;;CCR DESAR
6V-8398;3;;1380;SEAL-O-RING;121-5740;;CCR DESAR
8S-0948;2;;1380;CLIP;121-5740;;CCR DESAR
9L-9132;3;;1380;WASHER-HARD (10.2X25.5X2.5-MM THK);121-5740;;CCR DESAR
5M-2894;10;;1057;WASHER-HARD (10.2X18.5X2.5-MM THK);121-5800;;CCR TU&EL
168-7800;4;;1057;LOCKNUT (3/8-16-THD);121-5800;;CCR TU&EL
4P-0707;2;;1057;CLAMP AS;121-5800;;CCR TU&EL
7C-9710;1;;1057;GASKET;121-5800;;CCR TU&EL
9G-5127;1;;1057;BREATHER (ATMOSPHERIC)(EXHAUST BYPASS);121-5800;;CCR TU&EL
3J-1907;5;;1057;SEAL-O-RING;121-5800;;CCR TU&EL
9X-6772;1;;1057;STRAP-CABLE;121-5800;;CCR TU&EL
4P-7581;1;;1057;CLIP (LADDER);121-5800;;CCR TU&EL
8F-2396;1;;1057;GROMMET;121-5800;;CCR TU&EL
109-4591;1;;1057;VALVE GP-SOLENOID (EXHAUST BYPASS);121-5800;;CCR TU&EL
0L-1143;1;;1057;BOLT (3/8-16X2.5-IN);121-5800;;CCR TU&EL
121-5821;1;;1057;HOSE AS;121-5800;;CCR TU&EL
2M-1908;1;;1057;FITTING-BULKHEAD;121-5800;;CCR TU&EL
3S-8664;3;;1057;CLIP;121-5800;;CCR TU&EL
1P-1367;4;;1308;PLUNGER (RELIEF VALVE);123-6884;;CCR EN&CA
7G-6713;4;;1308;SPRING-MAIN;123-6884;;CCR EN&CA
9Y-8388;3;;1308;GASKET;123-6884;;CCR EN&CA
111-3820;1;;1308;RING-RETAINING;123-6884;;CCR EN&CA
275-2604;4;;1308;FILTER-ENGINE OIL (ADVANCED EFFICIENCY);123-6884;;CCR EN&CA
361-7097;1;;1308;RING;123-6884;;CCR DESAR
109-2332;2;;1308;SEAL-O-RING;123-6884;;CCR DESAR
5M-2894;22;;1308;WASHER-HARD (10.2X18.5X2.5-MM THK);123-6884;;CCR DESAR
5P-8245;6;;1308;WASHER-HARD (13.5X25.5X3-MM THK);123-6884;;CCR EN&CA
6V-5048;4;;1308;SEAL-O-RING;123-6884;;CCR EN&CA
8C-3445;1;;1308;CAP-DUST;123-6884;;CCR EN&CA
8C-3446;1;;1308;VALVE-SAMPLING;123-6884;;CCR EN&CA
9M-1974;8;;1308;WASHER-HARD (8.8X16X2-MM THK);123-6884;;CCR EN&CA
9Y-8387;4;;1308;GASKET;123-6884;;CCR EN&CA
5P-8245;2;;1325;WASHER-HARD (13.5X25.5X3-MM THK);131-3468;;CCR EN&CA
2M-9189;1;;1325;GASKET;131-3468;;CCR EN&CA
110-8827;1;;1325;FITTING (QUICK DISCONNECT, MALE);131-3468;;CCR EN&CA
7M-8485;2;;1325;SEAL-O-RING;131-3468;;CCR EN&CA
133-9735;1;;1456;HOSE AS;133-9261;;CCR DESAR
5P-9085;7;;1456;CLIP (LOOP);133-9261;;CCR DESAR
133-9658;1;;1456;HOSE AS;133-9261;;CCR DESAR
118-8454;2;;1456;NOZZLE AS-ETHER;133-9261;;CCR DESAR
5M-2894;3;;1456;WASHER-HARD (10.2X18.5X2.5-MM THK);133-9261;;CCR DESAR
143-9607;3;;1122;STRAP-CABLE;137-8244;;CCR BLK
264-0567;1;;1122;GROMMET;137-8244;;CCR BLK
5M-2894;4;;1122;WASHER-HARD (10.2X18.5X2.5-MM THK);137-8244;;CCR BLK
5P-1075;2;;1122;WASHER-HARD (10.2X22.5X3-MM THK);137-8244;;CCR BLK
5P-8245;4;;1122;WASHER-HARD (13.5X25.5X3-MM THK);7E-2324;;CCR BLK
7B-3235;1;;1122;BOLT (1/2-13X1.375-IN);7E-2324;;CCR BLK
235-3546;1;;1207;SEAL-O-RING;152-1025;;CCR DISTRI
6V-8260;1;;1207;SEAL-O-RING;152-1025;;CCR DISTRI
7N-7539;2;;1207;WASHER-THRUST;152-1025;;CCR DISTRI
127-5400;2;;1207;BUSHING;152-1025;;CCR DISTRI
5P-0840;1;;1207;SEAL-O-RING;152-1025;;CCR DISTRI
6V-3348;1;;1207;SEAL-O-RING;152-1025;;CCR DISTRI
5P-8247;2;;1207;WASHER-HARD (17X32X3.5-MM THK);152-1025;;CCR DISTRI
259-4598;1;;1207;SEAL-O-RING;152-1025;;CCR DISTRI
9M-1974;4;;1207;WASHER-HARD (8.8X16X2-MM THK);152-1025;;CCR DISTRI
5M-2894;6;;1207;WASHER-HARD (10.2X18.5X2.5-MM THK);152-1025;;CCR DISTRI
5F-5434;1;;1803;VALVE AS-VENT;152-1031;;CCR BBA
5T-8088;1;;1803;HOSE AS;152-1031;;CCR DESAR
7V-0916;1;;1803;HOSE AS;152-1031;;CCR DESAR
8N-2811;1;;1803;GASKET;152-1031;;CCR BBA
9N-5221;1;;1803;HOSE AS;152-1031;;CCR DESAR
152-1005;1;;1803;HOSE AS;152-1031;;CCR DESAR
1S-0994;1;;1803;CLIP (LOOP);152-1031;;CCR DESAR
2M-9780;2;;1803;SEAL-O-RING;152-1031;;CCR DESAR
5M-2894;1;;1803;WASHER-HARD (10.2X18.5X2.5-MM THK);152-1031;;CCR DESAR
5P-4295;2;;1803;CLIP;152-1031;;CCR DESAR
5P-8245;1;;1803;WASHER-HARD (13.5X25.5X3-MM THK);152-1031;;CCR DESAR
8M-2770;1;;1803;CLIP (LOOP);152-1031;;CCR DESAR
5M-2894;7;;1162;WASHER-HARD (10.2X18.5X2.5-MM THK);153-7494;;CCR DISTRI
3P-1896;2;;1162;PLUG-CUP (35.31-MM OD);153-7494;;CCR DISTRI
8N-9885;1;;1162;GASKET-COVER;153-7494;;CCR DISTRI
3D-2824;1;;1162;SEAL-O-RING;153-7494;;CCR DISTRI
033-6042;1;;1162;SEAL-O-RING;153-7494;;CCR DISTRI
2W-0752;4;;1052;GASKET;155-0503;;CCR DESAR
108-1434;1;;1052;GROMMET;155-0503;;CCR DESAR
4P-4460;2;;1052;GASKET;155-0503;;CCR TU&EL
7N-7559;2;;1052;GASKET;155-0503;;CCR TU&EL
155-0496;2;;1052;GASKET;155-0503;;CCR TU&EL
184-3231;2;;1052;HOSE AS;155-0503;;CCR TU&EL
304-2341;2;;1052;HOSE AS;155-0503;;CCR DESAR
061-7539;2;;1052;SEAL-O-RING;155-0503;;CCR DESAR
0L-1143;1;;1052;BOLT (3/8-16X2.5-IN);155-0503;;CCR DESAR
5M-2894;5;;1052;WASHER-HARD (10.2X18.5X2.5-MM THK);155-0503;;CCR TU&EL
5P-9890;4;;1052;SEAL-O-RING;155-0503;;CCR DESAR
6V-4589;4;;1052;SEAL-O-RING;155-0503;;CCR DESAR
6V-5134;4;;1052;SEAL-O-RING;155-0503;;CCR DESAR
8L-2786;2;;1052;SEAL-O-RING;155-0503;;CCR TU&EL
8S-9191;4;;1052;BOLT (3/8-16X4-IN);155-0503;;CCR TU&EL
9L-9132;8;;1052;WASHER-HARD (10.2X25.5X2.5-MM THK);155-0503;;CCR DESAR
9M-1974;4;;1052;WASHER-HARD (8.8X16X2-MM THK);155-0503;;CCR DESAR
1W-4736;1;;1052;GASKET-COVER;155-0506;;CCR TU&EL
4B-6697;2;;1052;BOLT-SPECIAL;155-0506;;CCR TU&EL
341-9211;4;;1052;GASKET;155-0506;;CCR TU&EL
2J-6274;1;;1052;SEAL-O-RING;155-0506;;CCR TU&EL
5M-2894;38;;1052;WASHER-HARD (10.2X18.5X2.5-MM THK);155-0506;;CCR TU&EL
5P-8245;32;;1052;WASHER-HARD (13.5X25.5X3-MM THK);155-0506;;CCR TU&EL
5P-8245;20;;1052;WASHER-HARD (13.5X25.5X3-MM THK);123-6992;;CCR TU&EL
4P-2005;2;;7254;SPACER (11X22X15.5-MM THK);155-0508;;CCR TU&EL
5P-8245;32;;7254;WASHER-HARD (13.5X25.5X3-MM THK);155-0508;;CCR TU&EL
1W-4099;1;;1380;RING-RETAINING;214-6018;;CCR DESAR
4P-0707;2;;1380;CLAMP AS;214-6018;;CCR DESAR
4W-0530;2;;1380;RING-RETAINING;214-6018;;CCR DESAR
4W-0531;4;;1380;RETAINER;214-6018;;CCR DESAR
111-4397;1;;1380;HOSE AS;214-6018;;CCR DESAR
7J-0204;1;;1380;SEAL-O-RING;214-6018;;CCR EN&CA
004-1964;3;;1380;SEAL-O-RING;214-6018;;CCR EN&CA
0L-1143;1;;1380;BOLT (3/8-16X2.5-IN);214-6018;;CCR DESAR
0S-1591;2;;1380;BOLT (3/8-16X1.5-IN);214-6018;;CCR EN&CA
9M-1974;4;;1380;WASHER-HARD (8.8X16X2-MM THK);214-6018;;CCR EN&CA
1A-9066;2;;1380;GASKET;214-6018;;CCR DESAR
2H-3928;1;;1380;SEAL-O-RING;214-6018;;CCR DESAR
2W-4005;2;;1380;RING-RETAINING;214-6018;;CCR DESAR
3J-1907;1;;1380;SEAL-O-RING;214-6018;;CCR EN&CA
3J-7354;1;;1380;SEAL-O-RING;214-6018;;CCR DESAR
5B-4399;2;;1380;SEAL-O-RING;214-6018;;CCR EN&CA
5D-5957;4;;1380;SEAL-O-RING;214-6018;;CCR EN&CA
5H-8848;1;;1380;SEAL-O-RING;214-6018;;CCR DESAR
5M-1198;2;;1380;CLIP;214-6018;;CCR DESAR
5M-2894;29;;1380;WASHER-HARD (10.2X18.5X2.5-MM THK);214-6018;;CCR DESAR
5P-8245;9;;1380;WASHER-HARD (13.5X25.5X3-MM THK);214-6018;;CCR DESAR
6V-1454;2;;1380;SEAL-O-RING;214-6018;;CCR DESAR
6V-5066;1;;1380;SEAL-O-RING;214-6018;;CCR DESAR
6V-6809;1;;1380;SEAL-O-RING;214-6018;;CCR DESAR
6V-8397;3;;1380;SEAL-O-RING;214-6018;;CCR EN&CA
6V-8398;1;;1380;SEAL-O-RING;214-6018;;CCR DESAR
8C-3073;1;;1380;SEAL-O-RING;214-6018;;CCR DESAR
8T-1919;2;;1380;SEAL-O-RING;214-6018;;CCR DESAR
