Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;340-2665;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
4P-7581;2;1907;CLIP (LADDER);362-6073;;CCR TU&EL;;;
5M-2894;1;1907;WASHER-HARD (10.2X18.5X2.5-MM THK);362-6073;;CCR TU&EL;;;
6V-4589;3;1907;SEAL-O-RING;362-6073;;CCR TU&EL;;;
9X-1813;1;1907;SLEEVE (110-CM);362-6073;;CCR TU&EL;;;
6N-9533;4;1067;SHIELD AS-HEAT;269-4755;;CCR DESAR;;;
1S-9169;16;1067;BOLT-HIGH TEMPERATURE (3/8-16X0.75-IN);269-4755;;CCR DESAR;;;
5M-2894;1;1067;WASHER-HARD (10.2X18.5X2.5-MM THK);375-7250;;CCR DESAR;;;
357-1752;2;1052;GASKET-TURBOCHARGER;348-2749;;CCR TU&EL;;;
284-0753;2;1052;WASHER (11X25X2.5-MM THK);348-2749;;CCR TU&EL;;;
2N-2765;4;1052;BOLT-HIGH TEMPERATURE (3/8-16X1.75-IN);348-2749;;CCR TU&EL;;;
2N-2766;8;1052;LOCKNUT (3/8-16-THD);348-2749;;CCR TU&EL;;;
5P-7128;4;1052;BOLT-HIGH TEMPERATURE (3/8-16X2-IN);348-2749;;CCR TU&EL;;;
7K-1181;2;1408;STRAP-CABLE;346-9696;;CCR DESAR;;;
206-1345;1;1408;STRAP-CABLE;346-9696;;CCR DESAR;;;
373-0424;1;1408;HARNESS AS-SENSOR;346-9696;;CCR DESAR;;;
264-7029;2;1408;SEAL-CONNECTOR;346-9696;;CCR DESAR;;;
8T-8737;2;1408;PLUG-SEAL;346-9696;;CCR DESAR;;;
264-7030;1;1408;SEAL-CONNECTOR;346-9696;;CCR DESAR;;;
132-5789;1;1408;CLIP (LADDER);346-9696;;CCR DESAR;;;
4P-7581;1;1408;CLIP (LADDER);346-9696;;CCR DESAR;;;
5M-2894;2;1408;WASHER-HARD (10.2X18.5X2.5-MM THK);346-9696;;CCR DESAR;;;
9M-1974;1;1408;WASHER-HARD (8.8X16X2-MM THK);346-9696;;CCR DESAR;;;
3S-2093;2;1408;STRAP-CABLE;359-4953;;CCR TU&EL;;;
7K-1181;21;1408;STRAP-CABLE;359-4953;;CCR TU&EL;;;
206-1345;2;1408;STRAP-CABLE;359-4953;;CCR TU&EL;;;
