Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;BXY_20R-4097_988;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
214-7566;3;1261;Seal-O-Ring;356-1878;Filter GP-Fuel;CCR TU&EL;;;
356-1889;1;1261;Harness AS-Sensor;356-1878;Filter GP-Fuel;CCR TU&EL;;;
132-5789;1;1261;Clip;356-1878;Filter GP-Fuel;CCR TU&EL;;;
6V-3965;1;1261;Fitting;356-1878;Filter GP-Fuel;CCR TU&EL;;;
238-5080;5;1261;Seal-O-Ring;356-1878;Filter GP-Fuel;CCR TU&EL;;;
4P-7581;1;1261;Clip;356-1878;Filter GP-Fuel;CCR TU&EL;;;
281-2725;1;1251;Valve GP-Check;233-6742;Valve GP-Check;CCR TU&EL;;;
238-5081;1;1251;Seal-O-Ring;233-6742;Valve GP-Check;CCR TU&EL;;;
256-6453;2;1408;Sensor-Temperature;234-5013;Sensor GP-Temperature;CCR TU&EL;;;
238-5080;2;1408;Seal-O-Ring;234-5013;Sensor GP-Temperature;CCR TU&EL;;;
9M-0164;1;1317;Clamp-Hose;159-9362;Fumes Disposal GP;CCR  DESARME;;;
161-6622;1;1317;Clip;159-9362;Fumes Disposal GP;CCR  DESARME;;;
207-8128;1;1317;Hose AS;159-9362;Fumes Disposal GP;CCR  DESARME;;;
5P-2369;1;1317;Clip;159-9362;Fumes Disposal GP;CCR  DESARME;;;
165-6170;3;1326;Plug;220-2917;Gauge GP-Oil Level (Dipstick);CCR  DESARME;;;
180-5567;1;1326;Gauge AS-Oil Level (Dipstick);220-2917;Gauge GP-Oil Level (Dipstick);CCR  DESARME;;;
118-5068;1;1326;Seal-O-Ring;220-2917;Gauge GP-Oil Level (Dipstick);CCR  DESARME;;;
349-1209;2;1326;Clip;220-2917;Gauge GP-Oil Level (Dipstick);CCR  DESARME;;;
155-5619;1;1157;Gasket;134-2809;Housing GP-Flywheel;CCR  DESARME;;;
9Y-6089;1;1157;Gasket;134-2809;Housing GP-Flywheel;CCR  DESARME;;;
234-8937;1;1157;Seal-Integral;134-2809;Housing GP-Flywheel;CCR  DESARME;;;
2A-1162;1;1157;Gasket;134-2809;Housing GP-Flywheel;CCR  DESARME;;;
142-5868;1;1160;Seal-Crankshaft;319-0785;Seal GP-Crankshaft;CCR BLOCK;;;
155-9524;1;1151;Seal-Integral;341-8964;Housing GP-Front;CCR  DESARME;;;
166-9144;1;1151;Gasket;341-8964;Housing GP-Front;CCR  DESARME;;;
334-6832;2;1151;Stud-Special;353-9979;Plate AS-Front Housing;CCR  DESARME;;;
127-0929;1;1071;Clamp-V Band;126-0081;Lines GP-Air;CCR  DESARME;;;
214-7566;1;1071;Seal-O-Ring;126-0081;Lines GP-Air;CCR  DESARME;;;
8C-3089;1;1071;Seal-O-Ring;126-0081;Lines GP-Air;CCR  DESARME;;;
2P-3760;1;1307;Gasket;219-4443;Lines GP-Engine Oil;CCR  DESARME;;;
4N-8150;1;1307;Spring;219-4443;Lines GP-Engine Oil;CCR  DESARME;;;
392-9208;1;1307;Plunger-Valve;219-4443;Lines GP-Engine Oil;CCR  DESARME;;;
214-7567;2;1307;Seal-O-Ring;219-4443;Lines GP-Engine Oil;CCR  DESARME;;;
2N-3350;2;1307;Seal-O-Ring;219-4443;Lines GP-Engine Oil;CCR  DESARME;;;
3E-6790;1;1307;Seal-O-Ring;219-4443;Lines GP-Engine Oil;CCR  DESARME;;;
113-5304;2;1307;Seal-O-Ring;219-4443;Lines GP-Engine Oil;CCR  DESARME;;;
5P-8068;2;1307;Seal-O-Ring;219-4443;Lines GP-Engine Oil;CCR  DESARME;;;
