Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;AMA 3413157;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
7N-2155;2;;1304;BUSHING;174-7916;;CCR BBA
7N-2156;2;;1304;BUSHING;174-7916;;CCR BBA
7N-2213;2;;1304;BUSHING;174-7916;;CCR BBA
7G-2176;4;;1304;DAMPER-BOLT;174-7916;;CCR BBA
9Y-1792;1;;1304;RETAINER;174-7916;;CCR BBA
7C-1511;1;;1304;RING-PLUNGER;174-7916;;CCR BBA
236-6733;1;;1304;SPRING;174-7916;;CCR BBA
5M-2894;2;;1304;WASHER-HARD (10.2X18.5X2.5-MM THK);174-7916;;CCR BBA
9X-7371;1;;1361;SEAL-O-RING;230-4172;;CCR BBA
0L-1143;2;;1304;BOLT (3/8-16X2.5-IN);4N-2481;;CCR BBA
5M-2894;3;;1304;WASHER-HARD (10.2X18.5X2.5-MM THK);4N-2481;;CCR BBA
0L-1143;2;;5073;BOLT (3/8-16X2.5-IN);520-2928;;CCR BBA
5M-2894;3;;5073;WASHER-HARD (10.2X18.5X2.5-MM THK);520-2928;;CCR BBA
4N-0684;1;;1202;DOWEL;224-3250;;CCR BLK
253-1752;2;;1202;PLATE-THRUST;224-3250;;CCR BLK
142-5868;1;;1160;SEAL-CRANKSHAFT (REAR);319-0785;;CCR BLK
142-5867;1;;1160;SEAL-CRANKSHAFT (FRONT);319-7401;;CCR BLK
234-8937;1;;1150;SEAL-INTEGRAL;343-4347;;CCR BLK
239-5571;1;;1150;SEAL-INTEGRAL;343-4347;;CCR BLK
239-5572;1;;1150;SEAL-INTEGRAL;343-4347;;CCR BLK
5M-2894;7;;1150;WASHER-HARD (10.2X18.5X2.5-MM THK);343-4347;;CCR BLK
4N-6658;1;;1201;BUSHING (1.3-IN WIDE);348-9904;;CCR BLK
4N-0685;1;;1201;BUSHING (1-IN WIDE);348-9904;;CCR BLK
6V-6609;1;;1201;SEAL-O-RING;348-9904;;CCR BLK
225-5966;1;;1201;SLEEVE;348-9904;;CCR BLK
3B-0645;1;;1201;PLUG-CUP (32.08-MM OD);349-2859;;CCR BLK
214-7566;2;;1201;SEAL-O-RING;349-2859;;CCR BLK
238-5082;1;;1201;SEAL-O-RING;349-2859;;CCR BLK
5P-8356;4;;1201;SEAL-O-RING;349-2859;;CCR BLK
6L-4428;3;;1201;STUD-TAPERLOCK (3/8-16X4.01-IN);349-2859;;CCR BLK
240-9543;14;;1201;WASHER (12.45X22.35X1.82-MM THK);349-2859;;CCR BLK
165-6170;1;;1326;PLUG;355-0408;;CCR BLK
165-6170;3;;1201;PLUG;357-1093;;CCR BLK
214-7566;1;;1201;SEAL-O-RING;357-1093;;CCR BLK
214-7568;4;;1201;SEAL-O-RING;357-1093;;CCR BLK
238-5081;3;;1201;SEAL-O-RING;357-1093;;CCR BLK
3B-0645;4;;1101;PLUG-CUP (32.08-MM OD);223-6407;;CCR CLT
9S-8004;1;;1100;PLUG (9/16-18-THD);339-3585;;CCR CLT
6V-6609;2;;1100;SEAL-O-RING;339-3585;;CCR CLT
106-1792;24;;1100;STUD-TAPERLOCK (3/8-16X4-IN);339-3585;;CCR CLT
343-4835;1;;1153;MOUNT AS;179-7086;;CCR DESAR
209-8621;2;;1204;BEARING;208-5481;;CCR DESAR
5P-1370;2;;1204;BEARING AS-ROLLER;208-5481;;CCR DESAR
7B-3235;24;;1204;BOLT (1/2-13X1.375-IN);208-5481;;CCR DESAR
031-5085;6;;1204;BOLT-LOCKING (1/4-20X1-IN);208-5481;;CCR DESAR
224-9664;2;;1204;BUSHING;208-5481;;CCR DESAR
226-6052;1;;1204;BUSHING;208-5481;;CCR DESAR
7N-2910;1;;1204;BUSHING;208-5481;;CCR DESAR
5P-9299;2;;1204;CLIP (LOOP);208-5481;;CCR DESAR
4N-0684;2;;1204;DOWEL;208-5481;;CCR DESAR
297-7956;2;;1204;ELBOW (INCLUDES SCREEN FILTER);208-5481;;CCR DESAR
247-3837;1;;1204;HOSE AS;208-5481;;CCR DESAR
1B-8705;1;;1204;KEY-WOODRUFF;208-5481;;CCR DESAR
102-5861;2;;1204;PLATE-THRUST;208-5481;;CCR DESAR
317-6539;1;;1204;SEAL-LIP TYPE;208-5481;;CCR DESAR
117-8801;2;;1204;SEAL-O-RING;208-5481;;CCR DESAR
214-7568;5;;1204;SEAL-O-RING;208-5481;;CCR DESAR
