Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;r120ceJGB;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
211-0587;4;1202;BEARING-MAIN (STANDARD);224-3881;CRANKSHAFT GP;CCR BLK;;;
211-0588;3;1202;BEARING-MAIN (STANDARD);224-3881;CRANKSHAFT GP;CCR BLK;;;
9Y-0810;1;1202;SLEEVE-WEAR (REAR);224-3881;CRANKSHAFT GP;CCR BLK;;;
9Y-0821;1;1202;SLEEVE (FRONT);224-3881;CRANKSHAFT GP;CCR BLK;;;
246-3144;2;1202;PLATE-THRUST;224-3881;CRANKSHAFT GP;CCR BLK;;;
3B-0623;3;1201;PLUG-CUP (25.73-MM OD);240-7271;CYLINDER BLOCK GP;CCR DESAR;;;
214-7566;1;1201;SEAL-O-RING;240-7271;CYLINDER BLOCK GP;CCR DESAR;;;
437-1409;6;1201;SEAL-LINER;517-1983;CYLINDER BLOCK AS;CCR DESAR;;;
4F-5695;5;1201;PLUG-CUP;517-1983;CYLINDER BLOCK AS;CCR DESAR;;;
187-8969;7;1201;BEARING;361-4767;CYLINDER BLOCK AS;CCR BLK;;;
221-9392;1;1100;GASKET;486-6230;CYLINDER HEAD GP;CCR DESAR;;;
242-1811;26;1100;BOLT-CYLINDER HEAD (M16X2X220-MM);198-4963;FASTENER GP-CYLINDER HEAD;CCR DESAR;;;
210-4460;8;1100;BOLT (M10X1.5X130-MM);198-4963;FASTENER GP-CYLINDER HEAD;CCR DESAR;;;
7C-7852;1;1162;BEARING;222-3088;GEAR GP-FRONT;CCR DESAR;;;
133-7084;1;1162;BUSHING;222-3088;GEAR GP-FRONT;CCR DESAR;;;
346-4897;1;1304;SEAL-O-RING;233-5221;PUMP GP-ENGINE OIL;CCR DESAR;;;
3E-6788;1;1304;SEAL-O-RING;233-5221;PUMP GP-ENGINE OIL;CCR DESAR;;;
5P-8068;2;1304;SEAL-O-RING;233-5221;PUMP GP-ENGINE OIL;CCR DESAR;;;
6V-3834;1;1304;SEAL-O-RING;233-5221;PUMP GP-ENGINE OIL;CCR DESAR;;;
6V-5134;3;1304;SEAL-O-RING;233-5221;PUMP GP-ENGINE OIL;CCR DESAR;;;
8J-4351;1;1304;SEAL-O-RING;233-5221;PUMP GP-ENGINE OIL;CCR DESAR;;;
9M-1974;8;1304;WASHER-HARD (8.8X16X2-MM THK);233-5221;PUMP GP-ENGINE OIL;CCR DESAR;;;
6D-7146;1;1304;SEAL-O-RING;233-5220;PUMP GP-ENGINE OIL;CCR BBA;;;
6V-7350;1;1361;SEAL-O-RING;228-5812;PUMP GP-WATER;CCR BBA;;;
229-8810;1;1361;SEAL;352-0206;PUMP GP-WATER;CCR BBA;;;
225-7003;1;1361;SEAL-O-RING;352-0206;PUMP GP-WATER;CCR BBA;;;
6V-3251;1;1361;SEAL-O-RING;352-0206;PUMP GP-WATER;CCR BBA;;;
214-7568;1;1907;SEAL-O-RING;354-0042;SENSOR GP-ENGINE;CCR TU&EL;;;
234-5012;1;1907;SENSOR GP-TEMPERATURE (COOLANT);354-0042;SENSOR GP-ENGINE;CCR TU&EL;;;
234-5013;1;1907;SENSOR GP-TEMPERATURE (INTAKE AIR MANIFOLD);354-0042;SENSOR GP-ENGINE;CCR TU&EL;;;
249-0096;1;1907;SENSOR GP-PRESSURE (INLET AIR);354-0042;SENSOR GP-ENGINE;CCR TU&EL;;;
276-8548;1;1907;SENSOR GP-PRESSURE (ATMOSPHERIC AIR)(ATMOSPHERIC);354-0042;SENSOR GP-ENGINE;CCR TU&EL;;;
274-6719;1;1907;SENSOR GP-PRESSURE (ENGINE OIL);354-0042;SENSOR GP-ENGINE;CCR TU&EL;;;
384-1836;1;1907;SENSOR GP-SPEED (ENGINE SPEED);354-0042;SENSOR GP-ENGINE;CCR TU&EL;;;
300-9806;1;1907;SENSOR GP-SPEED (SECONDARY; TIMING);354-0042;CCR TU&EL;;;
214-7566;2;1907;SEAL-O-RING;354-0042;SENSOR GP-ENGINE;CCR TU&EL;;;
9M-1974;2;1907;WASHER-HARD (8.8X16X2-MM THK);354-0042;SENSOR GP-ENGINE;CCR TU&EL;;;
3S-2093;2;1907;STRAP-CABLE;354-0042;SENSOR GP-ENGINE;CCR TU&EL;;;
3S-6605;6;1123;PLUG-CUP;396-4102;ROCKER ARM GP;CCR DESAR;;;
258-8721;6;1123;BUTTON;260-0251;ROCKER ARM GP -UNIT INJECTOR;CCR DESAR;;;
274-4490;6;1123;SCREW-ADJUSTMENT;260-0251;ROCKER ARM GP -UNIT INJECTOR;CCR DESAR;;;
8L-2777;6;1123;SEAL-O-RING;260-0251;ROCKER ARM GP -UNIT INJECTOR;CCR DESAR;;;
260-7524;6;1123;SCREW-VALVE ADJUSTMENT (M10X1.5-THD);385-4639;ROCKER ARM GP -INLET;CCR DESAR;;;
260-7524;6;1123;SCREW-VALVE ADJUSTMENT (M10X1.5-THD);261-2294;ROCKER ARM GP -EXHAUST;CCR DESAR;;;
7E-6508;6;1408;CAP AS;230-0961;WIRING GP-UNIT INJECTOR;CCR DESAR;;;
418-7614;1;1408;HARNESS AS-WIRING (UNIT INJECTOR);230-0961;WIRING GP-UNIT INJECTOR;CCR DESAR;;;
9X-8267;2;1408;WASHER (6.6X12X2-MM THK);230-0961;WIRING GP-UNIT INJECTOR;CCR DESAR;;;
237-9960;5;1408;CLIP (LADDER);230-0961;WIRING GP-UNIT INJECTOR;CCR DESAR;;;
3S-2093;5;1408;STRAP-CABLE;230-0961;WIRING GP-UNIT INJECTOR;CCR DESAR;;;
5P-0537;5;1408;WASHER-HARD (7.2X14.5X2-MM THK);230-0961;WIRING GP-UNIT INJECTOR;CCR DESAR;;;
