Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;SSP 20R8757 ;;29/07/2021;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
3P-0657;1;;1262;SEAL-O-RING;118-4490;;CCR BBA
293-5016;1;;1262;Valve GP-Check;293-5016;Valve GP-Check;CCR BBA
207-2755;1;;1252;SEAL-O-RING;304-9602;;CCR BBA
493-6731;1;;1361;HOSE AS;313-7600;;CCR BBA
271-4928;1;;1361;SEAL;313-7600;;CCR BBA
228-7088;2;;1361;SEAL-O-RING;313-7600;;CCR BBA
228-7100;1;;1361;SEAL-O-RING;313-7600;;CCR BBA
9M-3786;1;;1361;SEAL-O-RING;313-7600;;CCR BBA
8C-3076;1;;1361;SEAL-O-RING;313-7600;;CCR BBA
249-6365;4;;1361;STUD-TAPERLOCK (M10X1.5X79-MM);313-7600;;CCR BBA
418-1262;1;;1304;HOSE AS;329-8645;;CCR BBA
6V-6560;1;;1304;SEAL-O-RING;329-8645;;CCR BBA
112-8186;1;;1304;SEAL-O-RING;329-8645;;CCR BBA
3E-6751;1;;1304;SEAL-O-RING;329-8645;;CCR BBA
030-0167;1;;5117;RING-BACKUP;380-4432;;CCR BBA
6V-8002;2;;5117;SEAL-O-RING;380-4432;;CCR BBA
228-7090;1;;5117;SEAL-O-RING;380-4432;;CCR BBA
228-7103;1;;5117;SEAL-O-RING;380-4432;;CCR BBA
228-7102;1;;5117;SEAL-O-RING;380-4432;;CCR BBA
360-2963;1;;5117;SEAL-O-RING;380-4432;;CCR BBA
033-6028;1;;5117;SEAL-O-RING;380-4432;;CCR BBA
033-6039;1;;5117;SEAL-O-RING;380-4432;;CCR BBA
177-7131;1;;5117;SHIM (0.5-MM THK);380-4432;;CCR BBA
177-7130;6;;5117;SHIM (1-MM THK);380-4432;;CCR BBA
285-6589;1;;5117;SPRING;380-4432;;CCR BBA
288-4597;1;;5117;SPRING;380-4432;;CCR BBA
327-0817;1;;5117;VALVE GP-CHECK (PILOT);380-4432;;CCR BBA
379-2945;1;;5117;VALVE GP-CHECK (PRESSURE CONTROL);380-4432;;CCR BBA
8T-4121;8;;5117;WASHER-HARD (11X21X2.5-MM THK);380-4432;;CCR BBA
416-4703;1;;1258;Pump GP-Fuel Priming;416-4703;Pump GP-Fuel Priming;CCR BBA
228-7090;1;;1274;SEAL-O-RING;422-2371;;CCR BBA
228-7105;1;;1274;SEAL-O-RING;422-2371;;CCR BBA
235-2484;1;;1405;SEAL-LIP TYPE;447-1584;;CCR BBA
131-3718;1;;1405;SEAL-O-RING;447-1584;;CCR BBA
445-2070;1;;1256;Valve GP-Check;447-7162;Pump GP-Fuel Transfer;CCR BBA
300-6714;6;;1258;MOUNT;455-7761;;CCR BBA
235-2484;1;;1405;Seal-Lip Type;467-5166;Alternator GP-Charging;CCR BBA
131-3718;1;;1405;Seal-O-Ring;467-5166;Alternator GP-Charging;CCR BBA
4P-0707;2;;1274;CLAMP AS;475-1622;;CCR BBA
353-7952;2;;1274;GROMMET;475-1622;;CCR BBA
438-2169;1;;1274;HOSE AS;475-1622;;CCR BBA
482-3477;1;;1274;HOSE AS;475-1622;;CCR BBA
485-8899;1;;1274;HOSE AS;475-1622;;CCR BBA
509-5974;1;;1274;HOSE AS;475-1622;;CCR BBA
518-1421;1;;1274;HOSE AS;475-1622;;CCR BBA
573-0198;1;;1274;Hose AS;475-1622;Lines GP-Fuel;CCR BBA
290-5562;1;;1274;MOUNT (DUAL SWIVEL);475-1622;;CCR BBA
228-7092;4;;1274;SEAL-O-RING;475-1622;;CCR BBA
238-5081;3;;1274;SEAL-O-RING;475-1622;;CCR BBA
228-7091;7;;1274;SEAL-O-RING;475-1622;;CCR BBA
214-7568;1;;1274;SEAL-O-RING;475-1622;;CCR BBA
228-7090;7;;1274;SEAL-O-RING;475-1622;;CCR BBA
228-7089;2;;1274;SEAL-O-RING;475-1622;;CCR BBA
228-7102;2;;1274;SEAL-O-RING;475-1622;;CCR BBA
228-7093;1;;1274;SEAL-O-RING;475-1622;;CCR BBA
228-7105;10;;1274;SEAL-O-RING;475-1622;;CCR BBA
7K-1181;2;;1274;STRAP-CABLE;475-1622;;CCR BBA
369-6670;1;;1274;VALVE-CHECK;475-1622;;CCR BBA
228-7092;2;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7106;1;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7093;1;;1274;SEAL-O-RING;475-1623;;CCR BBA
238-5084;2;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7091;1;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7105;10;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7100;1;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7102;1;;1274;SEAL-O-RING;475-1623;;CCR BBA
5P-9186;2;;1274;SEAL-O-RING;475-1623;;CCR BBA
5D-5958;1;;1256;SEAL-O-RING;486-4600;;CCR BBA
20R-6600;1;;1290;PUMP GP-FUEL;505-1183;;CCR BBA
259-2627;2;;1251;BOLT (M12X1.75X40-MM);506-0539;;CCR BBA
330-3517;1;;1251;SEAL-O-RING;506-0539;;CCR BBA
3P-1156;1;;1251;SEAL-O-RING;506-0539;;CCR BBA
136-4189;3;;1304;BOLT (M12X1.75X75-MM);512-2737;;CCR BBA
6V-5055;1;;1304;SEAL-O-RING;512-2737;;CCR BBA
7X-3319;4;;1312;Screw-Hex Socket;524-1308;Pump GP-Scavenge;CCR BBA
533-5073;4;;1312;Shim;524-1308;Pump GP-Scavenge;CCR BBA
244-2331;4;;1312;Washer;524-1308;Pump GP-Scavenge;CCR BBA
469-1950;1;;;Valve GP-Pressure Control(Engine Oil);;;CCR BBA
438-3101;1;;1160;SEAL-CRANKSHAFT;248-4115;;CCR BLK
438-3102;1;;1160;SEAL-CRANKSHAFT;248-4115;;CCR BLK
228-7101;2;;1201;SEAL-O-RING;250-1792;;CCR BLK
228-7101;5;;1201;SEAL-O-RING;250-9989;;CCR BLK
3P-0656;4;;1312;SEAL-O-RING;262-1275;;CCR BLK
5S-9134;2;;1312;SEAL-O-RING;262-1275;;CCR BLK
8C-3078;2;;1122;SEAL-O-RING;283-9331;;CCR BLK
8T-7525;3;;1201;SEAL-O-RING;319-8582;;CCR BLK
8T-7525;1;;1201;SEAL-O-RING;322-2927;;CCR BLK
5P-8837;2;;1122;LOCK PIN;328-7097;;CCR BLK
272-0759;1;;1304;SEAL;329-8645;;CCR BLK
228-7090;1;;1304;SEAL-O-RING;329-8645;;CCR BLK
286-5801;9;;1202;BEARING-MAIN;359-0939;;CCR BLK
095-0893;14;;1202;PIN-SPRING;359-0939;;CCR BLK
341-4708;2;;1202;PLATE-THRUST;359-0939;;CCR BLK
6V-9028;1;;1205;SEAL-O-RING;369-5890;;CCR BLK
244-2446;2;;1201;PLUG-CUP;370-4041;;CCR BLK
262-1102;12;;1201;PLUG-CUP;370-4041;;CCR BLK
249-6392;9;;1201;BEARING-CAMSHAFT;370-4042;;CCR BLK
6V-3535;32;;1201;DOWEL;370-4042;;CCR BLK
384-3712;16;;1201;Dowel-Hollow;370-4042;Cylinder Block GP;CCR BLK
6V-6560;1;;1201;SEAL-O-RING;370-4042;;CCR BLK
6V-9028;1;;1156;SEAL-O-RING;370-6647;;CCR BLK
6V-5266;2;;1052;SEAL-O-RING;387-5217;;CCR BLK
376-6458;8;;1218;BEARING-CONNECTING ROD;434-0490;;CCR BLK
376-6457;8;;1218;BEARING-CONNECTING ROD;434-0491;;CCR BLK
9X-2125;52;;1201;BOLT-LOCKING (M10X1.5X25-MM);461-1615;;CCR BLK
338-9390;52;;1201;LOCKWASHER;461-1615;;CCR BLK
272-0759;15;;1201;SEAL;461-1615;;CCR BLK
8T-7526;1;;1201;SEAL-O-RING;461-1615;;CCR BLK
6V-3535;1;;1210;DOWEL;488-3486;;CCR BLK
228-7105;1;;1210;SEAL-O-RING;488-3486;;CCR BLK
109-3001;8;;1210;STUD-TAPERLOCK (M10X1.5X65-MM);488-3486;;CCR BLK
6V-5839;3;;1210;WASHER (11X21X2.5-MM THK);488-3486;;CCR BLK
375-5133;1;;1210;WASHER-THRUST;488-3486;;CCR BLK
6V-5839;3;;1312;WASHER (11X21X2.5-MM THK);262-1275;;CCR DESAR
9M-1974;6;;1312;WASHER-HARD (8.8X16X2-MM THK);262-1275;;CCR DESAR
157-0670;1;;1380;CAP-DUST;291-6243;;CCR DESAR
5P-4295;1;;1380;CLIP;291-6243;;CCR DESAR
336-8613;1;;1380;CLIP (LOOP);291-6243;;CCR DESAR
217-7742;2;;1380;GROMMET;291-6243;;CCR DESAR
103-0892;1;;1380;GROMMET;291-6243;;CCR DESAR
5P-8939;1;;1380;GROMMET;291-6243;;CCR DESAR
260-8448;1;;1380;HOSE AS;291-6243;;CCR DESAR
453-8068;1;;1380;HOSE AS;291-6243;;CCR DESAR
